    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    4+   1+0.250000+    5+   1+0.200000 
    4+   1+0.250000+    6+   1+0.166667 
    4+   1+0.250000+    7+   1+0.142857 
    4+   1+0.250000+    8+   1+0.125000 
    4+   1+0.250000+    9+   1+0.111111 
    4+   1+0.250000+   10+   1+0.100000 
    4+   1+0.250000+   11+   1+0.090909 
    4+   1+0.250000+   12+   1+0.083333 
    4+   1+0.250000+   13+   1+0.076923 
    4+   1+0.250000+   14+   1+0.071429 
    4+   1+0.250000+   15+   1+0.066667 
    4+   1+0.250000+   16+   1+0.062500 
    4+   1+0.250000+   17+   1+0.058824 
    4+   1+0.250000+   18+   1+0.055556 
    4+   1+0.250000+   19+   1+0.052632 
    4+   1+0.250000+   20+   1+0.050000 
    4+   1+0.250000+   21+   1+0.047619 
    4+   1+0.250000+   22+   1+0.045455 
    4+   1+0.250000+   23+   1+0.043478 
    4+   1+0.250000+   24+   1+0.041667 
    4+   1+0.250000+   25+   1+0.040000 
    4+   1+0.250000+   26+   2+0.076923 
    4+   1+0.250000+   27+   2+0.074074 
    4+   1+0.250000+   28+   2+0.071429 
    4+   1+0.250000+   29+   2+0.068966 
    4+   1+0.250000+   30+   2+0.066667 
    4+   1+0.250000+   31+   2+0.064516 
    4+   1+0.250000+   32+   2+0.062500 
    4+   1+0.250000+   33+   2+0.060606 
    4+   1+0.250000+   34+   2+0.058824 
    4+   1+0.250000+   35+   2+0.057143 
    4+   1+0.250000+   36+   2+0.055556 
    4+   1+0.250000+   37+   2+0.054054 
    4+   1+0.250000+   38+   2+0.052632 
    4+   1+0.250000+   39+   2+0.051282 
    4+   1+0.250000+   40+   2+0.050000 
    4+   1+0.250000+   41+   2+0.048780 
    4+   1+0.250000+   42+   2+0.047619 
    4+   1+0.250000+   43+   2+0.046512 
    4+   1+0.250000+   44+   2+0.045455 
    4+   1+0.250000+   45+   2+0.044444 
    4+   1+0.250000+   46+   2+0.043478 
    4+   1+0.250000+   47+   2+0.042553 
    4+   1+0.250000+   48+   2+0.041667 
    4+   1+0.250000+   49+   2+0.040816 
    4+   1+0.250000+   50+   2+0.040000 
    4+   1+0.250000+   51+   2+0.039216 
    4+   1+0.250000+   52+   2+0.038462 
    4+   1+0.250000+   53+   2+0.037736 
    4+   1+0.250000+   54+   2+0.037037 
    4+   1+0.250000+   55+   2+0.036364 
    4+   1+0.250000+   56+   2+0.035714 
    4+   1+0.250000+   57+   2+0.035088 
    4+   1+0.250000+   58+   2+0.034483 
    4+   1+0.250000+   59+   2+0.033898 
    4+   1+0.250000+   60+   2+0.033333 
    4+   1+0.250000+   61+   2+0.032787 
    4+   1+0.250000+   62+   3+0.048387 
    4+   1+0.250000+   63+   3+0.047619 
    4+   1+0.250000+   64+   3+0.046875 
    4+   1+0.250000+   65+   3+0.046154 
    4+   1+0.250000+   66+   3+0.045455 
    4+   1+0.250000+   67+   3+0.044776 
    4+   1+0.250000+   68+   3+0.044118 
    4+   1+0.250000+   69+   3+0.043478 
    4+   1+0.250000+   70+   3+0.042857 
    4+   1+0.250000+   71+   3+0.042254 
    4+   1+0.250000+   72+   3+0.041667 
    4+   1+0.250000+   73+   3+0.041096 
    4+   1+0.250000+   74+   3+0.040541 
    4+   1+0.250000+   75+   3+0.040000 
    4+   1+0.250000+   76+   3+0.039474 
    4+   1+0.250000+   77+   4+0.051948 
    4+   1+0.250000+   78+   4+0.051282 
    4+   1+0.250000+   79+   4+0.050633 
    4+   1+0.250000+   80+   4+0.050000 
    4+   1+0.250000+   81+   4+0.049383 
    4+   1+0.250000+   82+   4+0.048780 
    4+   1+0.250000+   83+   4+0.048193 
    4+   1+0.250000+   84+   4+0.047619 
    4+   1+0.250000+   85+   4+0.047059 
    4+   1+0.250000+   86+   4+0.046512 
    4+   1+0.250000+   87+   4+0.045977 
    4+   1+0.250000+   88+   4+0.045455 
    4+   1+0.250000+   89+   4+0.044944 
    4+   1+0.250000+   90+   4+0.044444 
    4+   1+0.250000+   91+   4+0.043956 
    4+   1+0.250000+   92+   4+0.043478 
    4+   1+0.250000+   93+   4+0.043011 
    4+   1+0.250000+   94+   4+0.042553 
    4+   1+0.250000+   95+   4+0.042105 
    4+   1+0.250000+   96+   4+0.041667 
    4+   1+0.250000+   97+   4+0.041237 
    4+   1+0.250000+   98+   4+0.040816 
    4+   1+0.250000+   99+   4+0.040404 
    4+   1+0.250000+  100+   4+0.040000 
    4+   1+0.250000+  101+   4+0.039604 
    4+   1+0.250000+  102+   4+0.039216 
    4+   1+0.250000+  103+   4+0.038835 
    4+   1+0.250000+  104+   4+0.038462 
    4+   1+0.250000+  105+   4+0.038095 
    4+   1+0.250000+  106+   4+0.037736 
    4+   1+0.250000+  107+   4+0.037383 
    4+   1+0.250000+  108+   4+0.037037 
    4+   1+0.250000+  109+   4+0.036697 
    4+   1+0.250000+  110+   4+0.036364 
    4+   1+0.250000+  111+   4+0.036036 
    4+   1+0.250000+  112+   4+0.035714 
    4+   1+0.250000+  113+   4+0.035398 
    4+   1+0.250000+  114+   4+0.035088 
    4+   1+0.250000+  115+   4+0.034783 
    4+   1+0.250000+  116+   4+0.034483 
    4+   1+0.250000+  117+   4+0.034188 
    4+   1+0.250000+  118+   4+0.033898 
    4+   1+0.250000+  119+   4+0.033613 
    4+   1+0.250000+  120+   4+0.033333 
    4+   1+0.250000+  121+   4+0.033058 
    4+   1+0.250000+  122+   4+0.032787 
    4+   1+0.250000+  123+   4+0.032520 
    4+   1+0.250000+  124+   4+0.032258 
    4+   1+0.250000+  125+   4+0.032000 
    4+   1+0.250000+  126+   4+0.031746 
    4+   1+0.250000+  127+   4+0.031496 
    4+   1+0.250000+  128+   4+0.031250 
    4+   1+0.250000+  129+   4+0.031008 
    4+   1+0.250000+  130+   4+0.030769 
    4+   1+0.250000+  131+   4+0.030534 
    4+   1+0.250000+  132+   4+0.030303 
    4+   1+0.250000+  133+   4+0.030075 
    4+   1+0.250000+  134+   4+0.029851 
    4+   1+0.250000+  135+   4+0.029630 
    4+   1+0.250000+  136+   4+0.029412 
    4+   1+0.250000+  137+   4+0.029197 
    4+   1+0.250000+  138+   4+0.028986 
    4+   1+0.250000+  139+   4+0.028777 
    4+   1+0.250000+  140+   4+0.028571 
    4+   1+0.250000+  141+   4+0.028369 
    4+   1+0.250000+  142+   4+0.028169 
    4+   1+0.250000+  143+   4+0.027972 
    4+   1+0.250000+  144+   4+0.027778 
    4+   1+0.250000+  145+   4+0.027586 
    4+   1+0.250000+  146+   4+0.027397 
    4+   1+0.250000+  147+   4+0.027211 
    4+   1+0.250000+  148+   4+0.027027 
    4+   1+0.250000+  149+   4+0.026846 
    4+   1+0.250000+  150+   4+0.026667 
    4+   1+0.250000+  151+   4+0.026490 
    4+   1+0.250000+  152+   4+0.026316 
    4+   1+0.250000+  153+   4+0.026144 
    4+   1+0.250000+  154+   4+0.025974 
    4+   1+0.250000+  155+   4+0.025806 
    4+   1+0.250000+  156+   4+0.025641 
    4+   1+0.250000+  157+   4+0.025478 
    4+   1+0.250000+  158+   4+0.025316 
    4+   1+0.250000+  159+   4+0.025157 
    4+   1+0.250000+  160+   4+0.025000 
    4+   1+0.250000+  161+   4+0.024845 
    4+   1+0.250000+  162+   4+0.024691 
    4+   1+0.250000+  163+   4+0.024540 
    4+   1+0.250000+  164+   4+0.024390 
    4+   1+0.250000+  165+   4+0.024242 
    4+   1+0.250000+  166+   4+0.024096 
    4+   1+0.250000+  167+   4+0.023952 
    4+   1+0.250000+  168+   4+0.023810 
    4+   1+0.250000+  169+   4+0.023669 
    4+   1+0.250000+  170+   4+0.023529 
    4+   1+0.250000+  171+   4+0.023392 
    4+   1+0.250000+  172+   4+0.023256 
    4+   1+0.250000+  173+   4+0.023121 
    4+   1+0.250000+  174+   4+0.022989 
    4+   1+0.250000+  175+   4+0.022857 
    4+   1+0.250000+  176+   4+0.022727 
    4+   1+0.250000+  177+   4+0.022599 
    4+   1+0.250000+  178+   4+0.022472 
    4+   1+0.250000+  179+   4+0.022346 
    4+   1+0.250000+  180+   4+0.022222 
    4+   1+0.250000+  181+   4+0.022099 
    4+   1+0.250000+  182+   4+0.021978 
    4+   1+0.250000+  183+   4+0.021858 
    4+   1+0.250000+  184+   4+0.021739 
    4+   1+0.250000+  185+   4+0.021622 
    4+   1+0.250000+  186+   4+0.021505 
    4+   1+0.250000+  187+   4+0.021390 
    4+   1+0.250000+  188+   4+0.021277 
    4+   1+0.250000+  189+   4+0.021164 
    4+   1+0.250000+  190+   4+0.021053 
    4+   1+0.250000+  191+   4+0.020942 
    4+   1+0.250000+  192+   4+0.020833 
    4+   1+0.250000+  193+   4+0.020725 
    4+   1+0.250000+  194+   4+0.020619 
    4+   1+0.250000+  195+   4+0.020513 
    4+   1+0.250000+  196+   4+0.020408 
    4+   1+0.250000+  197+   4+0.020305 
    4+   1+0.250000+  198+   4+0.020202 
    4+   1+0.250000+  199+   4+0.020101 
    4+   1+0.250000+  200+   4+0.020000 
    4+   1+0.250000+  201+   4+0.019900 
    4+   1+0.250000+  202+   4+0.019802 
    4+   1+0.250000+  203+   4+0.019704 
    4+   1+0.250000+  204+   4+0.019608 
    4+   1+0.250000+  205+   4+0.019512 
    4+   1+0.250000+  206+   4+0.019417 
    4+   1+0.250000+  207+   4+0.019324 
    4+   1+0.250000+  208+   4+0.019231 
    4+   1+0.250000+  209+   4+0.019139 
    4+   1+0.250000+  210+   4+0.019048 
    4+   1+0.250000+  211+   4+0.018957 
    4+   1+0.250000+  212+   4+0.018868 
    4+   1+0.250000+  213+   4+0.018779 
    4+   1+0.250000+  214+   4+0.018692 
    4+   1+0.250000+  215+   4+0.018605 
    4+   1+0.250000+  216+   4+0.018519 
    4+   1+0.250000+  217+   4+0.018433 
    4+   1+0.250000+  218+   4+0.018349 
    4+   1+0.250000+  219+   4+0.018265 
    4+   1+0.250000+  220+   4+0.018182 
    4+   1+0.250000+  221+   4+0.018100 
    4+   1+0.250000+  222+   4+0.018018 
    4+   1+0.250000+  223+   4+0.017937 
    4+   1+0.250000+  224+   4+0.017857 
    4+   1+0.250000+  225+   4+0.017778 
    4+   1+0.250000+  226+   4+0.017699 
    4+   1+0.250000+  227+   4+0.017621 
    4+   1+0.250000+  228+   4+0.017544 
    4+   1+0.250000+  229+   4+0.017467 
    4+   1+0.250000+  230+   4+0.017391 
    4+   1+0.250000+  231+   4+0.017316 
    4+   1+0.250000+  232+   4+0.017241 
    4+   1+0.250000+  233+   4+0.017167 
    4+   1+0.250000+  234+   4+0.017094 
    4+   1+0.250000+  235+   4+0.017021 
    4+   1+0.250000+  236+   4+0.016949 
    4+   1+0.250000+  237+   4+0.016878 
    4+   1+0.250000+  238+   4+0.016807 
    4+   1+0.250000+  239+   4+0.016736 
    4+   1+0.250000+  240+   4+0.016667 
    4+   1+0.250000+  241+   4+0.016598 
    4+   1+0.250000+  242+   4+0.016529 
    4+   1+0.250000+  243+   4+0.016461 
    4+   1+0.250000+  244+   4+0.016393 
    4+   1+0.250000+  245+   4+0.016327 
    4+   1+0.250000+  246+   4+0.016260 
    4+   1+0.250000+  247+   4+0.016194 
    4+   1+0.250000+  248+   4+0.016129 
    4+   1+0.250000+  249+   4+0.016064 
    4+   1+0.250000+  250+   4+0.016000 
    4+   1+0.250000+  251+   4+0.015936 
    4+   1+0.250000+  252+   4+0.015873 
    4+   1+0.250000+  253+   4+0.015810 
    4+   1+0.250000+  254+   4+0.015748 
    4+   1+0.250000+  255+   4+0.015686 
    4+   1+0.250000+  256+   4+0.015625 
    4+   1+0.250000+  257+   4+0.015564 
    4+   1+0.250000+  258+   4+0.015504 
    4+   1+0.250000+  259+   4+0.015444 
    4+   1+0.250000+  260+   4+0.015385 
    4+   1+0.250000+  261+   4+0.015326 
    4+   1+0.250000+  262+   4+0.015267 
    4+   1+0.250000+  263+   4+0.015209 
    4+   1+0.250000+  264+   4+0.015152 
    4+   1+0.250000+  265+   4+0.015094 
    4+   1+0.250000+  266+   4+0.015038 
    4+   1+0.250000+  267+   4+0.014981 
    4+   1+0.250000+  268+   4+0.014925 
    4+   1+0.250000+  269+   4+0.014870 
    4+   1+0.250000+  270+   4+0.014815 
    4+   1+0.250000+  271+   4+0.014760 
    4+   1+0.250000+  272+   4+0.014706 
    4+   1+0.250000+  273+   4+0.014652 
    4+   1+0.250000+  274+   4+0.014599 
    4+   1+0.250000+  275+   4+0.014545 
    4+   1+0.250000+  276+   4+0.014493 
    4+   1+0.250000+  277+   4+0.014440 
    4+   1+0.250000+  278+   4+0.014388 
    4+   1+0.250000+  279+   4+0.014337 
    4+   1+0.250000+  280+   4+0.014286 
    4+   1+0.250000+  281+   4+0.014235 
    4+   1+0.250000+  282+   4+0.014184 
    4+   1+0.250000+  283+   4+0.014134 
    4+   1+0.250000+  284+   4+0.014085 
    4+   1+0.250000+  285+   4+0.014035 
    4+   1+0.250000+  286+   4+0.013986 
    4+   1+0.250000+  287+   4+0.013937 
    4+   1+0.250000+  288+   4+0.013889 
    4+   1+0.250000+  289+   4+0.013841 
    4+   1+0.250000+  290+   5+0.017241 
    4+   1+0.250000+  291+   5+0.017182 
    4+   1+0.250000+  292+   5+0.017123 
    4+   1+0.250000+  293+   5+0.017065 
    4+   1+0.250000+  294+   5+0.017007 
    4+   1+0.250000+  295+   5+0.016949 
    4+   1+0.250000+  296+   5+0.016892 
    4+   1+0.250000+  297+   5+0.016835 
    4+   1+0.250000+  298+   5+0.016779 
    4+   1+0.250000+  299+   5+0.016722 
    4+   1+0.250000+  300+   5+0.016667 
    4+   1+0.250000+  301+   5+0.016611 
    4+   1+0.250000+  302+   5+0.016556 
    4+   1+0.250000+  303+   5+0.016502 
    4+   1+0.250000+  304+   5+0.016447 
    4+   1+0.250000+  305+   5+0.016393 
    4+   1+0.250000+  306+   5+0.016340 
    4+   1+0.250000+  307+   5+0.016287 
    4+   1+0.250000+  308+   5+0.016234 
    4+   1+0.250000+  309+   5+0.016181 
    4+   1+0.250000+  310+   5+0.016129 
    4+   1+0.250000+  311+   5+0.016077 
    4+   1+0.250000+  312+   5+0.016026 
    4+   1+0.250000+  313+   5+0.015974 
    4+   1+0.250000+  314+   5+0.015924 
    4+   1+0.250000+  315+   5+0.015873 
    4+   1+0.250000+  316+   5+0.015823 
    4+   1+0.250000+  317+   5+0.015773 
    4+   1+0.250000+  318+   5+0.015723 
    4+   1+0.250000+  319+   5+0.015674 
    4+   1+0.250000+  320+   5+0.015625 
    4+   1+0.250000+  321+   5+0.015576 
    4+   1+0.250000+  322+   5+0.015528 
    4+   1+0.250000+  323+   5+0.015480 
    4+   1+0.250000+  324+   5+0.015432 
    4+   1+0.250000+  325+   5+0.015385 
    4+   1+0.250000+  326+   5+0.015337 
    4+   1+0.250000+  327+   5+0.015291 
    4+   1+0.250000+  328+   5+0.015244 
    4+   1+0.250000+  329+   5+0.015198 
    4+   1+0.250000+  330+   5+0.015152 
    4+   1+0.250000+  331+   5+0.015106 
    4+   1+0.250000+  332+   5+0.015060 
    4+   1+0.250000+  333+   5+0.015015 
    4+   1+0.250000+  334+   5+0.014970 
    4+   1+0.250000+  335+   5+0.014925 
    4+   1+0.250000+  336+   5+0.014881 
    4+   1+0.250000+  337+   5+0.014837 
    4+   1+0.250000+  338+   5+0.014793 
    4+   1+0.250000+  339+   5+0.014749 
    4+   1+0.250000+  340+   5+0.014706 
    4+   1+0.250000+  341+   5+0.014663 
    4+   1+0.250000+  342+   5+0.014620 
    4+   1+0.250000+  343+   5+0.014577 
    4+   1+0.250000+  344+   5+0.014535 
    4+   1+0.250000+  345+   5+0.014493 
    4+   1+0.250000+  346+   5+0.014451 
    4+   1+0.250000+  347+   5+0.014409 
    4+   1+0.250000+  348+   5+0.014368 
    4+   1+0.250000+  349+   5+0.014327 
    4+   1+0.250000+  350+   5+0.014286 
    4+   1+0.250000+  351+   5+0.014245 
    4+   1+0.250000+  352+   6+0.017045 
    4+   1+0.250000+  353+   6+0.016997 
    4+   1+0.250000+  354+   6+0.016949 
    4+   1+0.250000+  355+   6+0.016901 
    4+   1+0.250000+  356+   6+0.016854 
    4+   1+0.250000+  357+   6+0.016807 
    4+   1+0.250000+  358+   6+0.016760 
    4+   1+0.250000+  359+   6+0.016713 
    4+   1+0.250000+  360+   6+0.016667 
    4+   1+0.250000+  361+   6+0.016620 
    4+   1+0.250000+  362+   7+0.019337 
    4+   1+0.250000+  363+   7+0.019284 
    4+   1+0.250000+  364+   7+0.019231 
    4+   1+0.250000+  365+   7+0.019178 
    4+   1+0.250000+  366+   7+0.019126 
    4+   1+0.250000+  367+   7+0.019074 
    4+   1+0.250000+  368+   7+0.019022 
    4+   1+0.250000+  369+   7+0.018970 
    4+   1+0.250000+  370+   7+0.018919 
    4+   1+0.250000+  371+   7+0.018868 
    4+   1+0.250000+  372+   7+0.018817 
    4+   1+0.250000+  373+   7+0.018767 
    4+   1+0.250000+  374+   7+0.018717 
    4+   1+0.250000+  375+   7+0.018667 
    4+   1+0.250000+  376+   7+0.018617 
    4+   1+0.250000+  377+   7+0.018568 
    4+   1+0.250000+  378+   7+0.018519 
    4+   1+0.250000+  379+   7+0.018470 
    4+   1+0.250000+  380+   7+0.018421 
    4+   1+0.250000+  381+   7+0.018373 
    4+   1+0.250000+  382+   7+0.018325 
    4+   1+0.250000+  383+   7+0.018277 
    4+   1+0.250000+  384+   7+0.018229 
    4+   1+0.250000+  385+   7+0.018182 
    4+   1+0.250000+  386+   7+0.018135 
    4+   1+0.250000+  387+   7+0.018088 
    4+   1+0.250000+  388+   7+0.018041 
    4+   1+0.250000+  389+   7+0.017995 
    4+   1+0.250000+  390+   7+0.017949 
    4+   1+0.250000+  391+   7+0.017903 
    4+   1+0.250000+  392+   7+0.017857 
    4+   1+0.250000+  393+   7+0.017812 
    4+   1+0.250000+  394+   7+0.017766 
    4+   1+0.250000+  395+   7+0.017722 
    4+   1+0.250000+  396+   7+0.017677 
    4+   1+0.250000+  397+   7+0.017632 
    4+   1+0.250000+  398+   7+0.017588 
    4+   1+0.250000+  399+   7+0.017544 
    4+   1+0.250000+  400+   7+0.017500 
    4+   1+0.250000+  401+   7+0.017456 
    4+   1+0.250000+  402+   7+0.017413 
    4+   1+0.250000+  403+   7+0.017370 
    4+   1+0.250000+  404+   7+0.017327 
    4+   1+0.250000+  405+   7+0.017284 
    4+   1+0.250000+  406+   7+0.017241 
    4+   1+0.250000+  407+   7+0.017199 
    4+   1+0.250000+  408+   7+0.017157 
    4+   1+0.250000+  409+   7+0.017115 
    4+   1+0.250000+  410+   7+0.017073 
    4+   1+0.250000+  411+   7+0.017032 
    4+   1+0.250000+  412+   7+0.016990 
    4+   1+0.250000+  413+   7+0.016949 
    4+   1+0.250000+  414+   7+0.016908 
    4+   1+0.250000+  415+   7+0.016867 
    4+   1+0.250000+  416+   7+0.016827 
    4+   1+0.250000+  417+   7+0.016787 
    4+   1+0.250000+  418+   7+0.016746 
    4+   1+0.250000+  419+   7+0.016706 
    4+   1+0.250000+  420+   7+0.016667 
    4+   1+0.250000+  421+   7+0.016627 
    4+   1+0.250000+  422+   7+0.016588 
    4+   1+0.250000+  423+   7+0.016548 
    4+   1+0.250000+  424+   7+0.016509 
    4+   1+0.250000+  425+   7+0.016471 
    4+   1+0.250000+  426+   7+0.016432 
    4+   1+0.250000+  427+   7+0.016393 
    4+   1+0.250000+  428+   7+0.016355 
    4+   1+0.250000+  429+   7+0.016317 
    4+   1+0.250000+  430+   7+0.016279 
    4+   1+0.250000+  431+   7+0.016241 
    4+   1+0.250000+  432+   7+0.016204 
    4+   1+0.250000+  433+   7+0.016166 
    4+   1+0.250000+  434+   7+0.016129 
    4+   1+0.250000+  435+   7+0.016092 
    4+   1+0.250000+  436+   7+0.016055 
    4+   1+0.250000+  437+   7+0.016018 
    4+   1+0.250000+  438+   7+0.015982 
    4+   1+0.250000+  439+   7+0.015945 
    4+   1+0.250000+  440+   7+0.015909 
    4+   1+0.250000+  441+   7+0.015873 
    4+   1+0.250000+  442+   7+0.015837 
    4+   1+0.250000+  443+   7+0.015801 
    4+   1+0.250000+  444+   7+0.015766 
    4+   1+0.250000+  445+   7+0.015730 
    4+   1+0.250000+  446+   7+0.015695 
    4+   1+0.250000+  447+   7+0.015660 
    4+   1+0.250000+  448+   7+0.015625 
    4+   1+0.250000+  449+   7+0.015590 
    4+   1+0.250000+  450+   7+0.015556 
    4+   1+0.250000+  451+   7+0.015521 
    4+   1+0.250000+  452+   7+0.015487 
    4+   1+0.250000+  453+   7+0.015453 
    4+   1+0.250000+  454+   7+0.015419 
    4+   1+0.250000+  455+   7+0.015385 
    4+   1+0.250000+  456+   7+0.015351 
    4+   1+0.250000+  457+   7+0.015317 
    4+   1+0.250000+  458+   7+0.015284 
    4+   1+0.250000+  459+   7+0.015251 
    4+   1+0.250000+  460+   7+0.015217 
    4+   1+0.250000+  461+   7+0.015184 
    4+   1+0.250000+  462+   7+0.015152 
    4+   1+0.250000+  463+   7+0.015119 
    4+   1+0.250000+  464+   7+0.015086 
    4+   1+0.250000+  465+   7+0.015054 
    4+   1+0.250000+  466+   7+0.015021 
    4+   1+0.250000+  467+   7+0.014989 
    4+   1+0.250000+  468+   7+0.014957 
    4+   1+0.250000+  469+   7+0.014925 
    4+   1+0.250000+  470+   7+0.014894 
    4+   1+0.250000+  471+   7+0.014862 
    4+   1+0.250000+  472+   7+0.014831 
    4+   1+0.250000+  473+   7+0.014799 
    4+   1+0.250000+  474+   7+0.014768 
    4+   1+0.250000+  475+   7+0.014737 
    4+   1+0.250000+  476+   7+0.014706 
    4+   1+0.250000+  477+   7+0.014675 
    4+   1+0.250000+  478+   7+0.014644 
    4+   1+0.250000+  479+   7+0.014614 
    4+   1+0.250000+  480+   7+0.014583 
    4+   1+0.250000+  481+   7+0.014553 
    4+   1+0.250000+  482+   7+0.014523 
    4+   1+0.250000+  483+   7+0.014493 
    4+   1+0.250000+  484+   7+0.014463 
    4+   1+0.250000+  485+   7+0.014433 
    4+   1+0.250000+  486+   7+0.014403 
    4+   1+0.250000+  487+   7+0.014374 
    4+   1+0.250000+  488+   7+0.014344 
    4+   1+0.250000+  489+   7+0.014315 
    4+   1+0.250000+  490+   7+0.014286 
    4+   1+0.250000+  491+   7+0.014257 
    4+   1+0.250000+  492+   7+0.014228 
    4+   1+0.250000+  493+   7+0.014199 
    4+   1+0.250000+  494+   7+0.014170 
    4+   1+0.250000+  495+   7+0.014141 
    4+   1+0.250000+  496+   7+0.014113 
    4+   1+0.250000+  497+   7+0.014085 
    4+   1+0.250000+  498+   7+0.014056 
    4+   1+0.250000+  499+   7+0.014028 
    4+   1+0.250000+  500+   7+0.014000 
