    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   11+   1+0.090909 
   12+   1+0.083333+   12+   2+0.166667 
   13+   1+0.076923+   13+   2+0.153846 
   14+   1+0.071429+   14+   2+0.142857 
   15+   1+0.066667+   15+   2+0.133333 
   16+   1+0.062500+   16+   2+0.125000 
   17+   1+0.058824+   17+   2+0.117647 
   18+   1+0.055556+   18+   2+0.111111 
   19+   1+0.052632+   19+   3+0.157895 
   20+   1+0.050000+   20+   3+0.150000 
   21+   1+0.047619+   21+   3+0.142857 
   22+   2+0.090909+   22+   3+0.136364 
   23+   2+0.086957+   23+   3+0.130435 
   24+   2+0.083333+   24+   3+0.125000 
   25+   2+0.080000+   25+   3+0.120000 
   26+   2+0.076923+   26+   4+0.153846 
   27+   2+0.074074+   27+   4+0.148148 
   28+   2+0.071429+   28+   4+0.142857 
   29+   3+0.103448+   29+   4+0.137931 
   30+   3+0.100000+   30+   4+0.133333 
   31+   3+0.096774+   31+   4+0.129032 
   32+   3+0.093750+   32+   4+0.125000 
   33+   3+0.090909+   33+   4+0.121212 
   34+   3+0.088235+   34+   4+0.117647 
   35+   3+0.085714+   35+   4+0.114286 
   36+   3+0.083333+   36+   4+0.111111 
   37+   3+0.081081+   37+   5+0.135135 
   38+   3+0.078947+   38+   5+0.131579 
   39+   3+0.076923+   39+   5+0.128205 
   40+   3+0.075000+   40+   5+0.125000 
   41+   3+0.073171+   41+   5+0.121951 
   42+   3+0.071429+   42+   5+0.119048 
   43+   3+0.069767+   43+   5+0.116279 
   44+   3+0.068182+   44+   5+0.113636 
   45+   3+0.066667+   45+   5+0.111111 
   46+   4+0.086957+   46+   5+0.108696 
   47+   4+0.085106+   47+   5+0.106383 
   48+   4+0.083333+   48+   5+0.104167 
   49+   4+0.081633+   49+   5+0.102041 
   50+   4+0.080000+   50+   5+0.100000 
   51+   4+0.078431+   51+   5+0.098039 
   52+   4+0.076923+   52+   5+0.096154 
   53+   4+0.075472+   53+   5+0.094340 
   54+   4+0.074074+   54+   5+0.092593 
   55+   4+0.072727+   55+   5+0.090909 
   56+   4+0.071429+   56+   5+0.089286 
   57+   5+0.087719+   57+   5+0.087719 
   58+   5+0.086207+   58+   5+0.086207 
   59+   5+0.084746+   59+   5+0.084746 
   60+   5+0.083333+   60+   5+0.083333 
   61+   5+0.081967+   61+   5+0.081967 
   62+   5+0.080645+   62+   5+0.080645 
   63+   5+0.079365+   63+   5+0.079365 
   64+   5+0.078125+   64+   5+0.078125 
   65+   5+0.076923+   65+   5+0.076923 
   66+   5+0.075758+   66+   5+0.075758 
   67+   5+0.074627+   67+   5+0.074627 
   68+   5+0.073529+   68+   5+0.073529 
   69+   5+0.072464+   69+   5+0.072464 
   70+   6+0.085714+   70+   5+0.071429 
   71+   6+0.084507+   71+   5+0.070423 
   72+   6+0.083333+   72+   5+0.069444 
   73+   6+0.082192+   73+   5+0.068493 
   74+   6+0.081081+   74+   5+0.067568 
   75+   6+0.080000+   75+   5+0.066667 
   76+   6+0.078947+   76+   5+0.065789 
   77+   6+0.077922+   77+   5+0.064935 
   78+   6+0.076923+   78+   5+0.064103 
   79+   6+0.075949+   79+   5+0.063291 
   80+   6+0.075000+   80+   5+0.062500 
   81+   6+0.074074+   81+   5+0.061728 
   82+   6+0.073171+   82+   5+0.060976 
   83+   6+0.072289+   83+   5+0.060241 
   84+   6+0.071429+   84+   5+0.059524 
   85+   7+0.082353+   85+   5+0.058824 
   86+   7+0.081395+   86+   5+0.058140 
   87+   7+0.080460+   87+   5+0.057471 
   88+   7+0.079545+   88+   5+0.056818 
   89+   7+0.078652+   89+   5+0.056180 
   90+   7+0.077778+   90+   5+0.055556 
   91+   7+0.076923+   91+   5+0.054945 
   92+   7+0.076087+   92+   5+0.054348 
   93+   7+0.075269+   93+   5+0.053763 
   94+   8+0.085106+   94+   5+0.053191 
   95+   8+0.084211+   95+   5+0.052632 
   96+   8+0.083333+   96+   5+0.052083 
   97+   8+0.082474+   97+   5+0.051546 
   98+   8+0.081633+   98+   5+0.051020 
   99+   8+0.080808+   99+   5+0.050505 
  100+   8+0.080000+  100+   5+0.050000 
  101+   8+0.079208+  101+   5+0.049505 
  102+   8+0.078431+  102+   5+0.049020 
  103+   8+0.077670+  103+   5+0.048544 
  104+   8+0.076923+  104+   5+0.048077 
  105+   8+0.076190+  105+   5+0.047619 
  106+   8+0.075472+  106+   5+0.047170 
  107+   8+0.074766+  107+   5+0.046729 
  108+   8+0.074074+  108+   5+0.046296 
  109+   8+0.073394+  109+   5+0.045872 
  110+   8+0.072727+  110+   5+0.045455 
  111+   8+0.072072+  111+   5+0.045045 
  112+   8+0.071429+  112+   5+0.044643 
  113+   9+0.079646+  113+   5+0.044248 
  114+   9+0.078947+  114+   5+0.043860 
  115+   9+0.078261+  115+   5+0.043478 
  116+   9+0.077586+  116+   5+0.043103 
  117+  10+0.085470+  117+   5+0.042735 
  118+  10+0.084746+  118+   5+0.042373 
  119+  10+0.084034+  119+   5+0.042017 
  120+  10+0.083333+  120+   5+0.041667 
  121+  10+0.082645+  121+   5+0.041322 
  122+  10+0.081967+  122+   5+0.040984 
  123+  10+0.081301+  123+   5+0.040650 
  124+  10+0.080645+  124+   5+0.040323 
  125+  10+0.080000+  125+   5+0.040000 
  126+  10+0.079365+  126+   5+0.039683 
  127+  10+0.078740+  127+   5+0.039370 
  128+  10+0.078125+  128+   5+0.039062 
  129+  10+0.077519+  129+   5+0.038760 
  130+  10+0.076923+  130+   5+0.038462 
  131+  10+0.076336+  131+   5+0.038168 
  132+  10+0.075758+  132+   5+0.037879 
  133+  10+0.075188+  133+   5+0.037594 
  134+  10+0.074627+  134+   5+0.037313 
  135+  10+0.074074+  135+   5+0.037037 
  136+  10+0.073529+  136+   5+0.036765 
  137+  10+0.072993+  137+   5+0.036496 
  138+  10+0.072464+  138+   5+0.036232 
  139+  10+0.071942+  139+   5+0.035971 
  139+  10+0.071942+  140+   5+0.035714 
  139+  10+0.071942+  141+   5+0.035461 
  139+  10+0.071942+  142+   5+0.035211 
  139+  10+0.071942+  143+   5+0.034965 
  139+  10+0.071942+  144+   5+0.034722 
  139+  10+0.071942+  145+   5+0.034483 
  139+  10+0.071942+  146+   5+0.034247 
  139+  10+0.071942+  147+   5+0.034014 
  139+  10+0.071942+  148+   5+0.033784 
  139+  10+0.071942+  149+   5+0.033557 
  139+  10+0.071942+  150+   5+0.033333 
  139+  10+0.071942+  151+   5+0.033113 
  139+  10+0.071942+  152+   5+0.032895 
  139+  10+0.071942+  153+   5+0.032680 
  139+  10+0.071942+  154+   5+0.032468 
  139+  10+0.071942+  155+   5+0.032258 
  139+  10+0.071942+  156+   5+0.032051 
  139+  10+0.071942+  157+   5+0.031847 
  139+  10+0.071942+  158+   5+0.031646 
  139+  10+0.071942+  159+   5+0.031447 
  139+  10+0.071942+  160+   5+0.031250 
  139+  10+0.071942+  161+   5+0.031056 
  139+  10+0.071942+  162+   5+0.030864 
  139+  10+0.071942+  163+   5+0.030675 
  139+  10+0.071942+  164+   5+0.030488 
  139+  10+0.071942+  165+   5+0.030303 
  139+  10+0.071942+  166+   5+0.030120 
  139+  10+0.071942+  167+   5+0.029940 
  139+  10+0.071942+  168+   5+0.029762 
  139+  10+0.071942+  169+   5+0.029586 
  139+  10+0.071942+  170+   5+0.029412 
  139+  10+0.071942+  171+   5+0.029240 
  139+  10+0.071942+  172+   5+0.029070 
  139+  10+0.071942+  173+   5+0.028902 
  139+  10+0.071942+  174+   5+0.028736 
  139+  10+0.071942+  175+   5+0.028571 
  139+  10+0.071942+  176+   5+0.028409 
  139+  10+0.071942+  177+   5+0.028249 
  139+  10+0.071942+  178+   5+0.028090 
  139+  10+0.071942+  179+   5+0.027933 
  139+  10+0.071942+  180+   5+0.027778 
  139+  10+0.071942+  181+   5+0.027624 
  139+  10+0.071942+  182+   5+0.027473 
  139+  10+0.071942+  183+   5+0.027322 
  139+  10+0.071942+  184+   5+0.027174 
  139+  10+0.071942+  185+   5+0.027027 
  139+  10+0.071942+  186+   5+0.026882 
  139+  10+0.071942+  187+   5+0.026738 
  139+  10+0.071942+  188+   5+0.026596 
  139+  10+0.071942+  189+   5+0.026455 
  139+  10+0.071942+  190+   5+0.026316 
  139+  10+0.071942+  191+   5+0.026178 
  139+  10+0.071942+  192+   5+0.026042 
  139+  10+0.071942+  193+   5+0.025907 
  139+  10+0.071942+  194+   5+0.025773 
  139+  10+0.071942+  195+   5+0.025641 
  139+  10+0.071942+  196+   5+0.025510 
  139+  10+0.071942+  197+   5+0.025381 
  139+  10+0.071942+  198+   5+0.025253 
  139+  10+0.071942+  199+   5+0.025126 
  139+  10+0.071942+  200+   5+0.025000 
  139+  10+0.071942+  201+   5+0.024876 
  139+  10+0.071942+  202+   5+0.024752 
  139+  10+0.071942+  203+   5+0.024631 
  139+  10+0.071942+  204+   5+0.024510 
  139+  10+0.071942+  205+   5+0.024390 
  139+  10+0.071942+  206+   5+0.024272 
  139+  10+0.071942+  207+   5+0.024155 
  139+  10+0.071942+  208+   5+0.024038 
  139+  10+0.071942+  209+   5+0.023923 
  139+  10+0.071942+  210+   5+0.023810 
  139+  10+0.071942+  211+   5+0.023697 
  139+  10+0.071942+  212+   5+0.023585 
  139+  10+0.071942+  213+   5+0.023474 
  139+  10+0.071942+  214+   5+0.023364 
  139+  10+0.071942+  215+   5+0.023256 
  139+  10+0.071942+  216+   5+0.023148 
  139+  10+0.071942+  217+   5+0.023041 
  139+  10+0.071942+  218+   5+0.022936 
  139+  10+0.071942+  219+   5+0.022831 
  139+  10+0.071942+  220+   5+0.022727 
  139+  10+0.071942+  221+   5+0.022624 
  139+  10+0.071942+  222+   5+0.022523 
  139+  10+0.071942+  223+   5+0.022422 
  139+  10+0.071942+  224+   5+0.022321 
  139+  10+0.071942+  225+   5+0.022222 
  139+  10+0.071942+  226+   5+0.022124 
  139+  10+0.071942+  227+   5+0.022026 
  139+  10+0.071942+  228+   5+0.021930 
  139+  10+0.071942+  229+   5+0.021834 
  139+  10+0.071942+  230+   5+0.021739 
  139+  10+0.071942+  231+   5+0.021645 
  139+  10+0.071942+  232+   5+0.021552 
  139+  10+0.071942+  233+   5+0.021459 
  139+  10+0.071942+  234+   5+0.021368 
  139+  10+0.071942+  235+   5+0.021277 
  139+  10+0.071942+  236+   5+0.021186 
  139+  10+0.071942+  237+   5+0.021097 
  139+  10+0.071942+  238+   5+0.021008 
  139+  10+0.071942+  239+   5+0.020921 
  139+  10+0.071942+  240+   5+0.020833 
  139+  10+0.071942+  241+   5+0.020747 
  139+  10+0.071942+  242+   5+0.020661 
  139+  10+0.071942+  243+   5+0.020576 
  139+  10+0.071942+  244+   5+0.020492 
  139+  10+0.071942+  245+   5+0.020408 
  139+  10+0.071942+  246+   5+0.020325 
  139+  10+0.071942+  247+   5+0.020243 
  139+  10+0.071942+  248+   5+0.020161 
  139+  10+0.071942+  249+   5+0.020080 
  139+  10+0.071942+  250+   5+0.020000 
  139+  10+0.071942+  251+   5+0.019920 
  139+  10+0.071942+  252+   5+0.019841 
  139+  10+0.071942+  253+   5+0.019763 
  139+  10+0.071942+  254+   5+0.019685 
  139+  10+0.071942+  255+   5+0.019608 
  139+  10+0.071942+  256+   5+0.019531 
  139+  10+0.071942+  257+   5+0.019455 
  139+  10+0.071942+  258+   5+0.019380 
  139+  10+0.071942+  259+   5+0.019305 
  139+  10+0.071942+  260+   5+0.019231 
  139+  10+0.071942+  261+   5+0.019157 
  139+  10+0.071942+  262+   5+0.019084 
  139+  10+0.071942+  263+   5+0.019011 
  139+  10+0.071942+  264+   5+0.018939 
  139+  10+0.071942+  265+   5+0.018868 
  139+  10+0.071942+  266+   5+0.018797 
  139+  10+0.071942+  267+   5+0.018727 
  139+  10+0.071942+  268+   5+0.018657 
  139+  10+0.071942+  269+   5+0.018587 
  139+  10+0.071942+  270+   5+0.018519 
  139+  10+0.071942+  271+   5+0.018450 
  139+  10+0.071942+  272+   5+0.018382 
  139+  10+0.071942+  273+   5+0.018315 
  139+  10+0.071942+  274+   5+0.018248 
  139+  10+0.071942+  275+   5+0.018182 
  139+  10+0.071942+  276+   5+0.018116 
  139+  10+0.071942+  277+   5+0.018051 
  139+  10+0.071942+  278+   5+0.017986 
  139+  10+0.071942+  279+   5+0.017921 
  139+  10+0.071942+  280+   5+0.017857 
  139+  10+0.071942+  281+   5+0.017794 
  139+  10+0.071942+  282+   5+0.017730 
  139+  10+0.071942+  283+   5+0.017668 
  139+  10+0.071942+  284+   5+0.017606 
  139+  10+0.071942+  285+   5+0.017544 
  139+  10+0.071942+  286+   5+0.017483 
  139+  10+0.071942+  287+   5+0.017422 
  139+  10+0.071942+  288+   5+0.017361 
  139+  10+0.071942+  289+   5+0.017301 
  139+  10+0.071942+  290+   5+0.017241 
  139+  10+0.071942+  291+   5+0.017182 
  139+  10+0.071942+  292+   5+0.017123 
  139+  10+0.071942+  293+   5+0.017065 
  139+  10+0.071942+  294+   5+0.017007 
  139+  10+0.071942+  295+   5+0.016949 
  139+  10+0.071942+  296+   5+0.016892 
  139+  10+0.071942+  297+   5+0.016835 
  139+  10+0.071942+  298+   5+0.016779 
  139+  10+0.071942+  299+   5+0.016722 
  139+  10+0.071942+  300+   5+0.016667 
  139+  10+0.071942+  301+   5+0.016611 
  139+  10+0.071942+  302+   5+0.016556 
  139+  10+0.071942+  303+   5+0.016502 
  139+  10+0.071942+  304+   5+0.016447 
  139+  10+0.071942+  305+   5+0.016393 
  139+  10+0.071942+  306+   5+0.016340 
  139+  10+0.071942+  307+   5+0.016287 
  139+  10+0.071942+  308+   5+0.016234 
  139+  10+0.071942+  309+   5+0.016181 
  139+  10+0.071942+  310+   5+0.016129 
  139+  10+0.071942+  311+   5+0.016077 
  139+  10+0.071942+  312+   5+0.016026 
  139+  10+0.071942+  313+   5+0.015974 
  139+  10+0.071942+  314+   5+0.015924 
  139+  10+0.071942+  315+   5+0.015873 
  139+  10+0.071942+  316+   5+0.015823 
  139+  10+0.071942+  317+   5+0.015773 
  139+  10+0.071942+  318+   5+0.015723 
  139+  10+0.071942+  319+   5+0.015674 
  139+  10+0.071942+  320+   5+0.015625 
  139+  10+0.071942+  321+   5+0.015576 
  139+  10+0.071942+  322+   5+0.015528 
  139+  10+0.071942+  323+   5+0.015480 
  139+  10+0.071942+  324+   5+0.015432 
  139+  10+0.071942+  325+   5+0.015385 
  139+  10+0.071942+  326+   5+0.015337 
  139+  10+0.071942+  327+   5+0.015291 
  139+  10+0.071942+  328+   5+0.015244 
  139+  10+0.071942+  329+   5+0.015198 
  139+  10+0.071942+  330+   5+0.015152 
  139+  10+0.071942+  331+   5+0.015106 
  139+  10+0.071942+  332+   5+0.015060 
  139+  10+0.071942+  333+   5+0.015015 
  139+  10+0.071942+  334+   5+0.014970 
  139+  10+0.071942+  335+   5+0.014925 
  139+  10+0.071942+  336+   5+0.014881 
  139+  10+0.071942+  337+   5+0.014837 
  139+  10+0.071942+  338+   5+0.014793 
  139+  10+0.071942+  339+   5+0.014749 
  139+  10+0.071942+  340+   5+0.014706 
  139+  10+0.071942+  341+   5+0.014663 
  139+  10+0.071942+  342+   5+0.014620 
  139+  10+0.071942+  343+   5+0.014577 
  139+  10+0.071942+  344+   5+0.014535 
  139+  10+0.071942+  345+   5+0.014493 
  139+  10+0.071942+  346+   5+0.014451 
  139+  10+0.071942+  347+   5+0.014409 
  139+  10+0.071942+  348+   5+0.014368 
  139+  10+0.071942+  349+   5+0.014327 
  139+  10+0.071942+  350+   5+0.014286 
  139+  10+0.071942+  351+   5+0.014245 
  139+  10+0.071942+  352+   5+0.014205 
  139+  10+0.071942+  353+   5+0.014164 
  139+  10+0.071942+  354+   5+0.014124 
  139+  10+0.071942+  355+   5+0.014085 
  139+  10+0.071942+  356+   5+0.014045 
  139+  10+0.071942+  357+   5+0.014006 
  139+  10+0.071942+  358+   5+0.013966 
  139+  10+0.071942+  359+   5+0.013928 
  139+  10+0.071942+  360+   5+0.013889 
  139+  10+0.071942+  361+   5+0.013850 
  139+  10+0.071942+  362+   5+0.013812 
  139+  10+0.071942+  363+   5+0.013774 
  139+  10+0.071942+  364+   5+0.013736 
  139+  10+0.071942+  365+   5+0.013699 
  139+  10+0.071942+  366+   5+0.013661 
  139+  10+0.071942+  367+   5+0.013624 
  139+  10+0.071942+  368+   5+0.013587 
  139+  10+0.071942+  369+   5+0.013550 
  139+  10+0.071942+  370+   5+0.013514 
  139+  10+0.071942+  371+   5+0.013477 
  139+  10+0.071942+  372+   5+0.013441 
  139+  10+0.071942+  373+   5+0.013405 
  139+  10+0.071942+  374+   5+0.013369 
  139+  10+0.071942+  375+   5+0.013333 
  139+  10+0.071942+  376+   5+0.013298 
  139+  10+0.071942+  377+   5+0.013263 
  139+  10+0.071942+  378+   5+0.013228 
  139+  10+0.071942+  379+   5+0.013193 
  139+  10+0.071942+  380+   5+0.013158 
  139+  10+0.071942+  381+   5+0.013123 
  139+  10+0.071942+  382+   5+0.013089 
  139+  10+0.071942+  383+   5+0.013055 
  139+  10+0.071942+  384+   5+0.013021 
  139+  10+0.071942+  385+   5+0.012987 
  139+  10+0.071942+  386+   5+0.012953 
  139+  10+0.071942+  387+   5+0.012920 
  139+  10+0.071942+  388+   5+0.012887 
  139+  10+0.071942+  389+   5+0.012853 
  139+  10+0.071942+  390+   5+0.012821 
  139+  10+0.071942+  391+   5+0.012788 
  139+  10+0.071942+  392+   5+0.012755 
  139+  10+0.071942+  393+   5+0.012723 
  139+  10+0.071942+  394+   5+0.012690 
  139+  10+0.071942+  395+   5+0.012658 
  139+  10+0.071942+  396+   5+0.012626 
  139+  10+0.071942+  397+   5+0.012594 
  139+  10+0.071942+  398+   5+0.012563 
  139+  10+0.071942+  399+   5+0.012531 
  139+  10+0.071942+  400+   5+0.012500 
  139+  10+0.071942+  401+   5+0.012469 
  139+  10+0.071942+  402+   5+0.012438 
  139+  10+0.071942+  403+   5+0.012407 
  139+  10+0.071942+  404+   5+0.012376 
  139+  10+0.071942+  405+   5+0.012346 
  139+  10+0.071942+  406+   5+0.012315 
  139+  10+0.071942+  407+   5+0.012285 
  139+  10+0.071942+  408+   5+0.012255 
  139+  10+0.071942+  409+   5+0.012225 
  139+  10+0.071942+  410+   5+0.012195 
  139+  10+0.071942+  411+   5+0.012165 
  139+  10+0.071942+  412+   5+0.012136 
  139+  10+0.071942+  413+   5+0.012107 
  139+  10+0.071942+  414+   5+0.012077 
  139+  10+0.071942+  415+   5+0.012048 
  139+  10+0.071942+  416+   5+0.012019 
  139+  10+0.071942+  417+   5+0.011990 
  139+  10+0.071942+  418+   5+0.011962 
  139+  10+0.071942+  419+   5+0.011933 
  139+  10+0.071942+  420+   5+0.011905 
  139+  10+0.071942+  421+   5+0.011876 
  139+  10+0.071942+  422+   5+0.011848 
  139+  10+0.071942+  423+   5+0.011820 
  139+  10+0.071942+  424+   5+0.011792 
  139+  10+0.071942+  425+   5+0.011765 
  139+  10+0.071942+  426+   5+0.011737 
  139+  10+0.071942+  427+   5+0.011710 
  139+  10+0.071942+  428+   5+0.011682 
  139+  10+0.071942+  429+   5+0.011655 
  139+  10+0.071942+  430+   5+0.011628 
  139+  10+0.071942+  431+   5+0.011601 
  139+  10+0.071942+  432+   5+0.011574 
  139+  10+0.071942+  433+   5+0.011547 
  139+  10+0.071942+  434+   5+0.011521 
  139+  10+0.071942+  435+   5+0.011494 
  139+  10+0.071942+  436+   5+0.011468 
  139+  10+0.071942+  437+   5+0.011442 
  139+  10+0.071942+  438+   5+0.011416 
  139+  10+0.071942+  439+   5+0.011390 
  139+  10+0.071942+  440+   5+0.011364 
  139+  10+0.071942+  441+   5+0.011338 
  139+  10+0.071942+  442+   5+0.011312 
  139+  10+0.071942+  443+   5+0.011287 
  139+  10+0.071942+  444+   5+0.011261 
  139+  10+0.071942+  445+   5+0.011236 
  139+  10+0.071942+  446+   5+0.011211 
  139+  10+0.071942+  447+   5+0.011186 
  139+  10+0.071942+  448+   5+0.011161 
  139+  10+0.071942+  449+   5+0.011136 
  139+  10+0.071942+  450+   5+0.011111 
  139+  10+0.071942+  451+   5+0.011086 
  139+  10+0.071942+  452+   5+0.011062 
  139+  10+0.071942+  453+   5+0.011038 
  139+  10+0.071942+  454+   5+0.011013 
  139+  10+0.071942+  455+   5+0.010989 
  139+  10+0.071942+  456+   5+0.010965 
  139+  10+0.071942+  457+   5+0.010941 
  139+  10+0.071942+  458+   5+0.010917 
  139+  10+0.071942+  459+   5+0.010893 
  139+  10+0.071942+  460+   5+0.010870 
  139+  10+0.071942+  461+   5+0.010846 
  139+  10+0.071942+  462+   5+0.010823 
  139+  10+0.071942+  463+   5+0.010799 
  139+  10+0.071942+  464+   5+0.010776 
  139+  10+0.071942+  465+   5+0.010753 
  139+  10+0.071942+  466+   5+0.010730 
  139+  10+0.071942+  467+   5+0.010707 
  139+  10+0.071942+  468+   5+0.010684 
  139+  10+0.071942+  469+   5+0.010661 
  139+  10+0.071942+  470+   5+0.010638 
  139+  10+0.071942+  471+   5+0.010616 
  139+  10+0.071942+  472+   5+0.010593 
  139+  10+0.071942+  473+   5+0.010571 
  139+  10+0.071942+  474+   5+0.010549 
  139+  10+0.071942+  475+   5+0.010526 
  139+  10+0.071942+  476+   5+0.010504 
  139+  10+0.071942+  477+   5+0.010482 
  139+  10+0.071942+  478+   5+0.010460 
  139+  10+0.071942+  479+   5+0.010438 
  139+  10+0.071942+  480+   5+0.010417 
  139+  10+0.071942+  481+   5+0.010395 
  139+  10+0.071942+  482+   5+0.010373 
  139+  10+0.071942+  483+   5+0.010352 
  139+  10+0.071942+  484+   5+0.010331 
  139+  10+0.071942+  485+   5+0.010309 
  139+  10+0.071942+  486+   5+0.010288 
  139+  10+0.071942+  487+   5+0.010267 
  139+  10+0.071942+  488+   5+0.010246 
  139+  10+0.071942+  489+   5+0.010225 
  139+  10+0.071942+  490+   5+0.010204 
  139+  10+0.071942+  491+   5+0.010183 
  139+  10+0.071942+  492+   5+0.010163 
  139+  10+0.071942+  493+   5+0.010142 
  139+  10+0.071942+  494+   5+0.010121 
  139+  10+0.071942+  495+   5+0.010101 
  139+  10+0.071942+  496+   5+0.010081 
  139+  10+0.071942+  497+   5+0.010060 
  139+  10+0.071942+  498+   5+0.010040 
  139+  10+0.071942+  499+   5+0.010020 
  139+  10+0.071942+  500+   5+0.010000 
