    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   11+   1+0.090909 
   12+   1+0.083333+   12+   1+0.083333 
   13+   1+0.076923+   13+   1+0.076923 
   14+   1+0.071429+   14+   1+0.071429 
   15+   1+0.066667+   15+   1+0.066667 
   16+   1+0.062500+   15+   1+0.066667 
   17+   1+0.058824+   15+   1+0.066667 
   18+   1+0.055556+   15+   1+0.066667 
   19+   1+0.052632+   15+   1+0.066667 
   20+   1+0.050000+   15+   1+0.066667 
   21+   1+0.047619+   15+   1+0.066667 
   22+   1+0.045455+   15+   1+0.066667 
   23+   1+0.043478+   15+   1+0.066667 
   24+   1+0.041667+   15+   1+0.066667 
   25+   1+0.040000+   15+   1+0.066667 
   26+   1+0.038462+   15+   1+0.066667 
   27+   1+0.037037+   15+   1+0.066667 
   28+   1+0.035714+   15+   1+0.066667 
   29+   1+0.034483+   15+   1+0.066667 
   30+   1+0.033333+   15+   1+0.066667 
   31+   1+0.032258+   15+   1+0.066667 
   32+   1+0.031250+   15+   1+0.066667 
   33+   1+0.030303+   15+   1+0.066667 
   34+   1+0.029412+   15+   1+0.066667 
   35+   1+0.028571+   15+   1+0.066667 
   36+   1+0.027778+   15+   1+0.066667 
   37+   1+0.027027+   15+   1+0.066667 
   38+   1+0.026316+   15+   1+0.066667 
   39+   1+0.025641+   15+   1+0.066667 
   40+   1+0.025000+   15+   1+0.066667 
   41+   1+0.024390+   15+   1+0.066667 
   42+   1+0.023810+   15+   1+0.066667 
   43+   1+0.023256+   15+   1+0.066667 
   44+   1+0.022727+   15+   1+0.066667 
   45+   1+0.022222+   15+   1+0.066667 
   46+   1+0.021739+   15+   1+0.066667 
   47+   1+0.021277+   15+   1+0.066667 
   48+   1+0.020833+   15+   1+0.066667 
   49+   1+0.020408+   15+   1+0.066667 
   50+   1+0.020000+   15+   1+0.066667 
   51+   1+0.019608+   15+   1+0.066667 
   52+   1+0.019231+   15+   1+0.066667 
   52+   1+0.019231+   15+   1+0.066667 
   52+   1+0.019231+   15+   1+0.066667 
