    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   1+0.000000 
    9+   1+0.000000+    9+   1+0.000000 
   10+   1+0.000000+   10+   1+0.000000 
   11+   1+0.000000+   11+   1+0.000000 
   12+   1+0.000000+   12+   1+0.000000 
   13+   1+0.000000+   13+   1+0.000000 
   14+   1+0.000000+   14+   1+0.000000 
   15+   1+0.000000+   15+   1+0.000000 
   16+   1+0.000000+   16+   1+0.000000 
   17+   1+0.000000+   17+   1+0.000000 
   18+   1+0.000000+   18+   1+0.000000 
   19+   1+0.000000+   19+   1+0.000000 
   20+   1+0.000000+   20+   1+0.000000 
   21+   1+0.000000+   21+   1+0.000000 
   22+   1+0.000000+   22+   1+0.000000 
   23+   1+0.000000+   23+   1+0.000000 
   24+   1+0.000000+   24+   1+0.000000 
   25+   1+0.000000+   25+   2+0.000000 
   26+   1+0.000000+   26+   2+0.000000 
   27+   1+0.000000+   27+   2+0.000000 
   28+   1+0.000000+   28+   2+0.000000 
   29+   1+0.000000+   29+   2+0.000000 
   30+   1+0.000000+   30+   2+0.000000 
   31+   1+0.000000+   31+   3+0.000000 
   32+   1+0.000000+   32+   3+0.000000 
   33+   1+0.000000+   33+   3+0.000000 
   34+   1+0.000000+   34+   3+0.000000 
   35+   1+0.000000+   35+   3+0.000000 
   36+   1+0.000000+   36+   3+0.000000 
   37+   1+0.000000+   37+   3+0.000000 
   38+   1+0.000000+   38+   3+0.000000 
   39+   1+0.000000+   39+   3+0.000000 
   40+   1+0.000000+   40+   3+0.000000 
   41+   1+0.000000+   41+   3+0.000000 
   42+   1+0.000000+   42+   3+0.000000 
   43+   1+0.000000+   43+   3+0.000000 
   44+   1+0.000000+   44+   3+0.000000 
   45+   1+0.000000+   45+   3+0.000000 
   46+   1+0.000000+   45+   3+0.000000 
   47+   1+0.000000+   45+   3+0.000000 
   48+   1+0.000000+   45+   3+0.000000 
   49+   1+0.000000+   45+   3+0.000000 
   50+   1+0.000000+   45+   3+0.000000 
   51+   1+0.000000+   45+   3+0.000000 
   52+   1+0.000000+   45+   3+0.000000 
   53+   1+0.000000+   45+   3+0.000000 
   54+   1+0.000000+   45+   3+0.000000 
   55+   1+0.000000+   45+   3+0.000000 
   56+   1+0.000000+   45+   3+0.000000 
   57+   1+0.000000+   45+   3+0.000000 
   58+   1+0.000000+   45+   3+0.000000 
   59+   1+0.000000+   45+   3+0.000000 
   60+   1+0.000000+   45+   3+0.000000 
   61+   1+0.000000+   45+   3+0.000000 
   62+   1+0.000000+   45+   3+0.000000 
   63+   1+0.000000+   45+   3+0.000000 
   64+   1+0.000000+   45+   3+0.000000 
   65+   1+0.000000+   45+   3+0.000000 
   66+   1+0.000000+   45+   3+0.000000 
   67+   1+0.000000+   45+   3+0.000000 
   68+   1+0.000000+   45+   3+0.000000 
   69+   1+0.000000+   45+   3+0.000000 
   70+   1+0.000000+   45+   3+0.000000 
   71+   1+0.000000+   45+   3+0.000000 
   72+   1+0.000000+   45+   3+0.000000 
   73+   1+0.000000+   45+   3+0.000000 
   74+   1+0.000000+   45+   3+0.000000 
   75+   1+0.000000+   45+   3+0.000000 
   76+   2+0.000000+   45+   3+0.000000 
   77+   2+0.000000+   45+   3+0.000000 
   78+   2+0.000000+   45+   3+0.000000 
   79+   2+0.000000+   45+   3+0.000000 
   80+   2+0.000000+   45+   3+0.000000 
   81+   2+0.000000+   45+   3+0.000000 
   82+   2+0.000000+   45+   3+0.000000 
   83+   2+0.000000+   45+   3+0.000000 
   84+   2+0.000000+   45+   3+0.000000 
   85+   2+0.000000+   45+   3+0.000000 
   86+   2+0.000000+   45+   3+0.000000 
   87+   2+0.000000+   45+   3+0.000000 
   88+   2+0.000000+   45+   3+0.000000 
   89+   2+0.000000+   45+   3+0.000000 
   90+   2+0.000000+   45+   3+0.000000 
   91+   2+0.000000+   45+   3+0.000000 
   92+   2+0.000000+   45+   3+0.000000 
   93+   2+0.000000+   45+   3+0.000000 
   94+   2+0.000000+   45+   3+0.000000 
   95+   2+0.000000+   45+   3+0.000000 
   96+   2+0.000000+   45+   3+0.000000 
   97+   2+0.000000+   45+   3+0.000000 
   98+   2+0.000000+   45+   3+0.000000 
   99+   3+0.000000+   45+   3+0.000000 
  100+   3+0.000000+   45+   3+0.000000 
  101+   3+0.000000+   45+   3+0.000000 
  102+   3+0.000000+   45+   3+0.000000 
  103+   3+0.000000+   45+   3+0.000000 
  104+   3+0.000000+   45+   3+0.000000 
  105+   3+0.000000+   45+   3+0.000000 
  106+   3+0.000000+   45+   3+0.000000 
  107+   3+0.000000+   45+   3+0.000000 
  108+   3+0.000000+   45+   3+0.000000 
  109+   3+0.000000+   45+   3+0.000000 
  109+   3+0.000000+   45+   3+0.000000 
  109+   3+0.000000+   45+   3+0.000000 
