    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   11+   1+0.090909 
   12+   1+0.083333+   12+   1+0.083333 
   13+   1+0.076923+   13+   1+0.076923 
   14+   2+0.142857+   14+   1+0.071429 
   15+   2+0.133333+   15+   1+0.066667 
   16+   2+0.125000+   16+   1+0.062500 
   17+   2+0.117647+   17+   1+0.058824 
   18+   2+0.111111+   18+   1+0.055556 
   19+   2+0.105263+   19+   1+0.052632 
   20+   2+0.100000+   20+   1+0.050000 
   21+   2+0.095238+   21+   1+0.047619 
   22+   2+0.090909+   22+   1+0.045455 
   23+   2+0.086957+   23+   1+0.043478 
   24+   2+0.083333+   24+   1+0.041667 
   25+   2+0.080000+   25+   1+0.040000 
   26+   2+0.076923+   26+   1+0.038462 
   27+   2+0.074074+   27+   1+0.037037 
   28+   2+0.071429+   28+   1+0.035714 
   29+   2+0.068966+   29+   1+0.034483 
   30+   3+0.100000+   30+   1+0.033333 
   31+   3+0.096774+   31+   1+0.032258 
   32+   3+0.093750+   32+   1+0.031250 
   33+   3+0.090909+   33+   1+0.030303 
   34+   3+0.088235+   34+   1+0.029412 
   35+   3+0.085714+   35+   1+0.028571 
   36+   3+0.083333+   36+   1+0.027778 
   37+   3+0.081081+   37+   1+0.027027 
   38+   3+0.078947+   38+   1+0.026316 
   39+   3+0.076923+   39+   2+0.051282 
   40+   3+0.075000+   40+   2+0.050000 
   41+   3+0.073171+   41+   2+0.048780 
   42+   3+0.071429+   42+   2+0.047619 
   43+   3+0.069767+   43+   3+0.069767 
   44+   3+0.068182+   44+   3+0.068182 
   45+   3+0.066667+   45+   3+0.066667 
   46+   3+0.065217+   46+   3+0.065217 
   47+   3+0.063830+   47+   3+0.063830 
   48+   3+0.062500+   48+   3+0.062500 
   49+   3+0.061224+   49+   3+0.061224 
   50+   3+0.060000+   50+   3+0.060000 
   51+   3+0.058824+   51+   4+0.078431 
   52+   3+0.057692+   52+   4+0.076923 
   53+   3+0.056604+   53+   4+0.075472 
   54+   3+0.055556+   54+   4+0.074074 
   55+   3+0.054545+   55+   4+0.072727 
   56+   3+0.053571+   56+   4+0.071429 
   57+   4+0.070175+   57+   4+0.070175 
   58+   4+0.068966+   58+   4+0.068966 
   59+   4+0.067797+   59+   4+0.067797 
   60+   4+0.066667+   60+   4+0.066667 
   61+   4+0.065574+   61+   4+0.065574 
   62+   4+0.064516+   62+   4+0.064516 
   63+   4+0.063492+   63+   4+0.063492 
   64+   4+0.062500+   64+   4+0.062500 
   65+   4+0.061538+   65+   4+0.061538 
   66+   4+0.060606+   66+   4+0.060606 
   67+   4+0.059701+   67+   4+0.059701 
   68+   4+0.058824+   68+   4+0.058824 
   69+   4+0.057971+   69+   4+0.057971 
   70+   4+0.057143+   70+   4+0.057143 
   71+   4+0.056338+   71+   4+0.056338 
   72+   4+0.055556+   72+   4+0.055556 
   73+   4+0.054795+   73+   4+0.054795 
   74+   4+0.054054+   74+   4+0.054054 
   75+   4+0.053333+   75+   4+0.053333 
   76+   4+0.052632+   76+   4+0.052632 
   77+   4+0.051948+   77+   4+0.051948 
   78+   4+0.051282+   78+   4+0.051282 
   79+   4+0.050633+   79+   4+0.050633 
   80+   4+0.050000+   80+   4+0.050000 
   81+   4+0.049383+   81+   4+0.049383 
   82+   4+0.048780+   82+   4+0.048780 
   83+   4+0.048193+   83+   4+0.048193 
   84+   4+0.047619+   84+   4+0.047619 
   85+   4+0.047059+   84+   4+0.047619 
   86+   4+0.046512+   84+   4+0.047619 
   87+   4+0.045977+   84+   4+0.047619 
   88+   4+0.045455+   84+   4+0.047619 
   89+   4+0.044944+   84+   4+0.047619 
   90+   4+0.044444+   84+   4+0.047619 
   91+   4+0.043956+   84+   4+0.047619 
   92+   4+0.043478+   84+   4+0.047619 
   93+   4+0.043011+   84+   4+0.047619 
   94+   4+0.042553+   84+   4+0.047619 
   95+   4+0.042105+   84+   4+0.047619 
   96+   4+0.041667+   84+   4+0.047619 
   97+   4+0.041237+   84+   4+0.047619 
   98+   4+0.040816+   84+   4+0.047619 
   99+   4+0.040404+   84+   4+0.047619 
  100+   4+0.040000+   84+   4+0.047619 
  101+   4+0.039604+   84+   4+0.047619 
  102+   4+0.039216+   84+   4+0.047619 
  103+   4+0.038835+   84+   4+0.047619 
  104+   4+0.038462+   84+   4+0.047619 
  105+   4+0.038095+   84+   4+0.047619 
  106+   4+0.037736+   84+   4+0.047619 
  107+   4+0.037383+   84+   4+0.047619 
  108+   4+0.037037+   84+   4+0.047619 
  109+   4+0.036697+   84+   4+0.047619 
  110+   4+0.036364+   84+   4+0.047619 
  111+   4+0.036036+   84+   4+0.047619 
  112+   4+0.035714+   84+   4+0.047619 
  113+   4+0.035398+   84+   4+0.047619 
  114+   4+0.035088+   84+   4+0.047619 
  115+   4+0.034783+   84+   4+0.047619 
  116+   4+0.034483+   84+   4+0.047619 
  117+   4+0.034188+   84+   4+0.047619 
  118+   4+0.033898+   84+   4+0.047619 
  119+   4+0.033613+   84+   4+0.047619 
  120+   4+0.033333+   84+   4+0.047619 
  121+   4+0.033058+   84+   4+0.047619 
  122+   4+0.032787+   84+   4+0.047619 
  123+   4+0.032520+   84+   4+0.047619 
  124+   4+0.032258+   84+   4+0.047619 
  125+   4+0.032000+   84+   4+0.047619 
  126+   4+0.031746+   84+   4+0.047619 
  127+   4+0.031496+   84+   4+0.047619 
  128+   4+0.031250+   84+   4+0.047619 
  129+   4+0.031008+   84+   4+0.047619 
  130+   4+0.030769+   84+   4+0.047619 
  131+   4+0.030534+   84+   4+0.047619 
  132+   4+0.030303+   84+   4+0.047619 
  133+   4+0.030075+   84+   4+0.047619 
  134+   4+0.029851+   84+   4+0.047619 
  135+   4+0.029630+   84+   4+0.047619 
  136+   4+0.029412+   84+   4+0.047619 
  137+   4+0.029197+   84+   4+0.047619 
  138+   4+0.028986+   84+   4+0.047619 
  139+   4+0.028777+   84+   4+0.047619 
  140+   4+0.028571+   84+   4+0.047619 
  141+   4+0.028369+   84+   4+0.047619 
  142+   4+0.028169+   84+   4+0.047619 
  143+   4+0.027972+   84+   4+0.047619 
  144+   4+0.027778+   84+   4+0.047619 
  145+   4+0.027586+   84+   4+0.047619 
  146+   4+0.027397+   84+   4+0.047619 
  147+   4+0.027211+   84+   4+0.047619 
  148+   4+0.027027+   84+   4+0.047619 
  149+   4+0.026846+   84+   4+0.047619 
  150+   4+0.026667+   84+   4+0.047619 
  151+   4+0.026490+   84+   4+0.047619 
  152+   4+0.026316+   84+   4+0.047619 
  153+   4+0.026144+   84+   4+0.047619 
  154+   4+0.025974+   84+   4+0.047619 
  155+   4+0.025806+   84+   4+0.047619 
  156+   4+0.025641+   84+   4+0.047619 
  157+   4+0.025478+   84+   4+0.047619 
  158+   4+0.025316+   84+   4+0.047619 
  159+   4+0.025157+   84+   4+0.047619 
  160+   4+0.025000+   84+   4+0.047619 
  161+   5+0.031056+   84+   4+0.047619 
  162+   5+0.030864+   84+   4+0.047619 
  163+   5+0.030675+   84+   4+0.047619 
  164+   5+0.030488+   84+   4+0.047619 
  165+   5+0.030303+   84+   4+0.047619 
  166+   5+0.030120+   84+   4+0.047619 
  167+   5+0.029940+   84+   4+0.047619 
  168+   5+0.029762+   84+   4+0.047619 
  169+   5+0.029586+   84+   4+0.047619 
  170+   5+0.029412+   84+   4+0.047619 
  171+   5+0.029240+   84+   4+0.047619 
  172+   5+0.029070+   84+   4+0.047619 
  173+   5+0.028902+   84+   4+0.047619 
  174+   5+0.028736+   84+   4+0.047619 
  175+   5+0.028571+   84+   4+0.047619 
  176+   5+0.028409+   84+   4+0.047619 
  177+   5+0.028249+   84+   4+0.047619 
  178+   5+0.028090+   84+   4+0.047619 
  179+   5+0.027933+   84+   4+0.047619 
  180+   5+0.027778+   84+   4+0.047619 
  181+   5+0.027624+   84+   4+0.047619 
  182+   5+0.027473+   84+   4+0.047619 
  183+   5+0.027322+   84+   4+0.047619 
  184+   6+0.032609+   84+   4+0.047619 
  185+   6+0.032432+   84+   4+0.047619 
  186+   6+0.032258+   84+   4+0.047619 
  187+   6+0.032086+   84+   4+0.047619 
  188+   6+0.031915+   84+   4+0.047619 
  189+   6+0.031746+   84+   4+0.047619 
  190+   6+0.031579+   84+   4+0.047619 
  191+   6+0.031414+   84+   4+0.047619 
  192+   6+0.031250+   84+   4+0.047619 
  193+   6+0.031088+   84+   4+0.047619 
  194+   6+0.030928+   84+   4+0.047619 
  195+   6+0.030769+   84+   4+0.047619 
  196+   6+0.030612+   84+   4+0.047619 
  197+   6+0.030457+   84+   4+0.047619 
  198+   6+0.030303+   84+   4+0.047619 
  199+   6+0.030151+   84+   4+0.047619 
  200+   6+0.030000+   84+   4+0.047619 
  201+   6+0.029851+   84+   4+0.047619 
  202+   6+0.029703+   84+   4+0.047619 
  203+   6+0.029557+   84+   4+0.047619 
  204+   6+0.029412+   84+   4+0.047619 
  205+   6+0.029268+   84+   4+0.047619 
  206+   6+0.029126+   84+   4+0.047619 
  207+   6+0.028986+   84+   4+0.047619 
  208+   6+0.028846+   84+   4+0.047619 
  209+   6+0.028708+   84+   4+0.047619 
  210+   6+0.028571+   84+   4+0.047619 
  211+   6+0.028436+   84+   4+0.047619 
  212+   7+0.033019+   84+   4+0.047619 
  213+   7+0.032864+   84+   4+0.047619 
  214+   7+0.032710+   84+   4+0.047619 
  215+   7+0.032558+   84+   4+0.047619 
  216+   7+0.032407+   84+   4+0.047619 
  217+   7+0.032258+   84+   4+0.047619 
  218+   7+0.032110+   84+   4+0.047619 
  219+   7+0.031963+   84+   4+0.047619 
  220+   7+0.031818+   84+   4+0.047619 
  221+   8+0.036199+   84+   4+0.047619 
  222+   8+0.036036+   84+   4+0.047619 
  223+   8+0.035874+   84+   4+0.047619 
  224+   8+0.035714+   84+   4+0.047619 
  225+   8+0.035556+   84+   4+0.047619 
  226+   8+0.035398+   84+   4+0.047619 
  227+   8+0.035242+   84+   4+0.047619 
  228+   8+0.035088+   84+   4+0.047619 
  229+   8+0.034934+   84+   4+0.047619 
  230+   8+0.034783+   84+   4+0.047619 
  231+   8+0.034632+   84+   4+0.047619 
  232+   8+0.034483+   84+   4+0.047619 
  233+   8+0.034335+   84+   4+0.047619 
  234+   8+0.034188+   84+   4+0.047619 
  235+   8+0.034043+   84+   4+0.047619 
  236+   8+0.033898+   84+   4+0.047619 
  237+   8+0.033755+   84+   4+0.047619 
  238+   8+0.033613+   84+   4+0.047619 
  239+   8+0.033473+   84+   4+0.047619 
  240+   8+0.033333+   84+   4+0.047619 
  241+   8+0.033195+   84+   4+0.047619 
  242+   8+0.033058+   84+   4+0.047619 
  243+   8+0.032922+   84+   4+0.047619 
  244+   8+0.032787+   84+   4+0.047619 
  245+   8+0.032653+   84+   4+0.047619 
  246+   8+0.032520+   84+   4+0.047619 
  247+   8+0.032389+   84+   4+0.047619 
  248+   8+0.032258+   84+   4+0.047619 
  249+   8+0.032129+   84+   4+0.047619 
  250+   8+0.032000+   84+   4+0.047619 
  251+   8+0.031873+   84+   4+0.047619 
  252+   8+0.031746+   84+   4+0.047619 
  253+   8+0.031621+   84+   4+0.047619 
  254+   8+0.031496+   84+   4+0.047619 
  255+   8+0.031373+   84+   4+0.047619 
  256+   8+0.031250+   84+   4+0.047619 
  257+   8+0.031128+   84+   4+0.047619 
  258+   8+0.031008+   84+   4+0.047619 
  259+   8+0.030888+   84+   4+0.047619 
  260+   8+0.030769+   84+   4+0.047619 
  261+   8+0.030651+   84+   4+0.047619 
  262+   9+0.034351+   84+   4+0.047619 
  263+   9+0.034221+   84+   4+0.047619 
  264+   9+0.034091+   84+   4+0.047619 
  265+   9+0.033962+   84+   4+0.047619 
  266+   9+0.033835+   84+   4+0.047619 
  267+   9+0.033708+   84+   4+0.047619 
  268+   9+0.033582+   84+   4+0.047619 
  269+   9+0.033457+   84+   4+0.047619 
  270+   9+0.033333+   84+   4+0.047619 
  271+   9+0.033210+   84+   4+0.047619 
  272+   9+0.033088+   84+   4+0.047619 
  273+   9+0.032967+   84+   4+0.047619 
  274+   9+0.032847+   84+   4+0.047619 
  275+   9+0.032727+   84+   4+0.047619 
  276+   9+0.032609+   84+   4+0.047619 
  277+   9+0.032491+   84+   4+0.047619 
  278+   9+0.032374+   84+   4+0.047619 
  279+   9+0.032258+   84+   4+0.047619 
  280+   9+0.032143+   84+   4+0.047619 
  281+   9+0.032028+   84+   4+0.047619 
  282+   9+0.031915+   84+   4+0.047619 
  283+   9+0.031802+   84+   4+0.047619 
  284+   9+0.031690+   84+   4+0.047619 
  285+   9+0.031579+   84+   4+0.047619 
  286+   9+0.031469+   84+   4+0.047619 
  287+   9+0.031359+   84+   4+0.047619 
  288+   9+0.031250+   84+   4+0.047619 
  289+   9+0.031142+   84+   4+0.047619 
  290+   9+0.031034+   84+   4+0.047619 
  291+   9+0.030928+   84+   4+0.047619 
  292+   9+0.030822+   84+   4+0.047619 
  293+   9+0.030717+   84+   4+0.047619 
  294+   9+0.030612+   84+   4+0.047619 
  295+   9+0.030508+   84+   4+0.047619 
  296+   9+0.030405+   84+   4+0.047619 
  297+   9+0.030303+   84+   4+0.047619 
  298+   9+0.030201+   84+   4+0.047619 
  299+   9+0.030100+   84+   4+0.047619 
  300+   9+0.030000+   84+   4+0.047619 
  301+   9+0.029900+   84+   4+0.047619 
  302+   9+0.029801+   84+   4+0.047619 
  303+   9+0.029703+   84+   4+0.047619 
  304+   9+0.029605+   84+   4+0.047619 
  305+   9+0.029508+   84+   4+0.047619 
  306+   9+0.029412+   84+   4+0.047619 
  307+   9+0.029316+   84+   4+0.047619 
  308+   9+0.029221+   84+   4+0.047619 
  309+   9+0.029126+   84+   4+0.047619 
  310+   9+0.029032+   84+   4+0.047619 
  311+   9+0.028939+   84+   4+0.047619 
  312+   9+0.028846+   84+   4+0.047619 
  313+   9+0.028754+   84+   4+0.047619 
  314+   9+0.028662+   84+   4+0.047619 
  315+   9+0.028571+   84+   4+0.047619 
  316+   9+0.028481+   84+   4+0.047619 
  317+   9+0.028391+   84+   4+0.047619 
  318+   9+0.028302+   84+   4+0.047619 
  319+   9+0.028213+   84+   4+0.047619 
  320+   9+0.028125+   84+   4+0.047619 
  321+   9+0.028037+   84+   4+0.047619 
  322+   9+0.027950+   84+   4+0.047619 
  323+   9+0.027864+   84+   4+0.047619 
  324+   9+0.027778+   84+   4+0.047619 
  325+   9+0.027692+   84+   4+0.047619 
  326+   9+0.027607+   84+   4+0.047619 
  327+   9+0.027523+   84+   4+0.047619 
  328+   9+0.027439+   84+   4+0.047619 
  329+   9+0.027356+   84+   4+0.047619 
  330+   9+0.027273+   84+   4+0.047619 
  331+   9+0.027190+   84+   4+0.047619 
  332+   9+0.027108+   84+   4+0.047619 
  333+   9+0.027027+   84+   4+0.047619 
  334+   9+0.026946+   84+   4+0.047619 
  335+   9+0.026866+   84+   4+0.047619 
  336+   9+0.026786+   84+   4+0.047619 
  337+   9+0.026706+   84+   4+0.047619 
  338+   9+0.026627+   84+   4+0.047619 
  339+   9+0.026549+   84+   4+0.047619 
  340+   9+0.026471+   84+   4+0.047619 
  341+   9+0.026393+   84+   4+0.047619 
  342+   9+0.026316+   84+   4+0.047619 
  343+   9+0.026239+   84+   4+0.047619 
  344+   9+0.026163+   84+   4+0.047619 
  345+   9+0.026087+   84+   4+0.047619 
  346+   9+0.026012+   84+   4+0.047619 
  347+   9+0.025937+   84+   4+0.047619 
  348+   9+0.025862+   84+   4+0.047619 
  349+   9+0.025788+   84+   4+0.047619 
  350+   9+0.025714+   84+   4+0.047619 
  351+   9+0.025641+   84+   4+0.047619 
  352+   9+0.025568+   84+   4+0.047619 
  353+   9+0.025496+   84+   4+0.047619 
  354+   9+0.025424+   84+   4+0.047619 
  355+   9+0.025352+   84+   4+0.047619 
  356+   9+0.025281+   84+   4+0.047619 
  357+   9+0.025210+   84+   4+0.047619 
  358+   9+0.025140+   84+   4+0.047619 
  359+   9+0.025070+   84+   4+0.047619 
  360+   9+0.025000+   84+   4+0.047619 
  361+   9+0.024931+   84+   4+0.047619 
  362+   9+0.024862+   84+   4+0.047619 
  363+   9+0.024793+   84+   4+0.047619 
  364+   9+0.024725+   84+   4+0.047619 
  365+   9+0.024658+   84+   4+0.047619 
  366+   9+0.024590+   84+   4+0.047619 
  367+   9+0.024523+   84+   4+0.047619 
  368+   9+0.024457+   84+   4+0.047619 
  369+   9+0.024390+   84+   4+0.047619 
  370+   9+0.024324+   84+   4+0.047619 
  371+   9+0.024259+   84+   4+0.047619 
  372+   9+0.024194+   84+   4+0.047619 
  373+   9+0.024129+   84+   4+0.047619 
  374+   9+0.024064+   84+   4+0.047619 
  375+   9+0.024000+   84+   4+0.047619 
  376+   9+0.023936+   84+   4+0.047619 
  377+   9+0.023873+   84+   4+0.047619 
  378+   9+0.023810+   84+   4+0.047619 
  379+   9+0.023747+   84+   4+0.047619 
  380+   9+0.023684+   84+   4+0.047619 
  381+   9+0.023622+   84+   4+0.047619 
  382+   9+0.023560+   84+   4+0.047619 
  383+   9+0.023499+   84+   4+0.047619 
  384+   9+0.023438+   84+   4+0.047619 
  385+   9+0.023377+   84+   4+0.047619 
  386+   9+0.023316+   84+   4+0.047619 
  387+   9+0.023256+   84+   4+0.047619 
  388+   9+0.023196+   84+   4+0.047619 
  389+   9+0.023136+   84+   4+0.047619 
  390+   9+0.023077+   84+   4+0.047619 
  391+   9+0.023018+   84+   4+0.047619 
  392+   9+0.022959+   84+   4+0.047619 
  393+   9+0.022901+   84+   4+0.047619 
  394+   9+0.022843+   84+   4+0.047619 
  395+   9+0.022785+   84+   4+0.047619 
  396+   9+0.022727+   84+   4+0.047619 
  397+   9+0.022670+   84+   4+0.047619 
  398+   9+0.022613+   84+   4+0.047619 
  399+   9+0.022556+   84+   4+0.047619 
  400+   9+0.022500+   84+   4+0.047619 
  401+   9+0.022444+   84+   4+0.047619 
  402+   9+0.022388+   84+   4+0.047619 
  403+   9+0.022333+   84+   4+0.047619 
  404+   9+0.022277+   84+   4+0.047619 
  405+   9+0.022222+   84+   4+0.047619 
  406+   9+0.022167+   84+   4+0.047619 
  407+   9+0.022113+   84+   4+0.047619 
  408+   9+0.022059+   84+   4+0.047619 
  409+   9+0.022005+   84+   4+0.047619 
  410+   9+0.021951+   84+   4+0.047619 
  411+   9+0.021898+   84+   4+0.047619 
  412+   9+0.021845+   84+   4+0.047619 
  413+   9+0.021792+   84+   4+0.047619 
  414+   9+0.021739+   84+   4+0.047619 
  415+   9+0.021687+   84+   4+0.047619 
  416+   9+0.021635+   84+   4+0.047619 
  417+   9+0.021583+   84+   4+0.047619 
  418+   9+0.021531+   84+   4+0.047619 
  419+   9+0.021480+   84+   4+0.047619 
  420+   9+0.021429+   84+   4+0.047619 
  421+   9+0.021378+   84+   4+0.047619 
  422+   9+0.021327+   84+   4+0.047619 
  423+   9+0.021277+   84+   4+0.047619 
  424+   9+0.021226+   84+   4+0.047619 
  425+   9+0.021176+   84+   4+0.047619 
  426+   9+0.021127+   84+   4+0.047619 
  427+   9+0.021077+   84+   4+0.047619 
  428+   9+0.021028+   84+   4+0.047619 
  429+   9+0.020979+   84+   4+0.047619 
  430+   9+0.020930+   84+   4+0.047619 
  431+   9+0.020882+   84+   4+0.047619 
  432+   9+0.020833+   84+   4+0.047619 
  433+   9+0.020785+   84+   4+0.047619 
  434+   9+0.020737+   84+   4+0.047619 
  435+   9+0.020690+   84+   4+0.047619 
  436+   9+0.020642+   84+   4+0.047619 
  437+   9+0.020595+   84+   4+0.047619 
  438+   9+0.020548+   84+   4+0.047619 
  439+   9+0.020501+   84+   4+0.047619 
  440+   9+0.020455+   84+   4+0.047619 
  441+   9+0.020408+   84+   4+0.047619 
  442+   9+0.020362+   84+   4+0.047619 
  443+   9+0.020316+   84+   4+0.047619 
  444+   9+0.020270+   84+   4+0.047619 
  445+   9+0.020225+   84+   4+0.047619 
  446+   9+0.020179+   84+   4+0.047619 
  447+   9+0.020134+   84+   4+0.047619 
  448+   9+0.020089+   84+   4+0.047619 
  449+   9+0.020045+   84+   4+0.047619 
  450+   9+0.020000+   84+   4+0.047619 
  451+   9+0.019956+   84+   4+0.047619 
  452+   9+0.019912+   84+   4+0.047619 
  453+   9+0.019868+   84+   4+0.047619 
  454+   9+0.019824+   84+   4+0.047619 
  455+   9+0.019780+   84+   4+0.047619 
  456+   9+0.019737+   84+   4+0.047619 
  457+   9+0.019694+   84+   4+0.047619 
  458+   9+0.019651+   84+   4+0.047619 
  459+   9+0.019608+   84+   4+0.047619 
  460+   9+0.019565+   84+   4+0.047619 
  461+   9+0.019523+   84+   4+0.047619 
  462+   9+0.019481+   84+   4+0.047619 
  463+   9+0.019438+   84+   4+0.047619 
  464+   9+0.019397+   84+   4+0.047619 
  465+   9+0.019355+   84+   4+0.047619 
  466+   9+0.019313+   84+   4+0.047619 
  467+   9+0.019272+   84+   4+0.047619 
  468+   9+0.019231+   84+   4+0.047619 
  469+   9+0.019190+   84+   4+0.047619 
  470+   9+0.019149+   84+   4+0.047619 
  471+   9+0.019108+   84+   4+0.047619 
  472+   9+0.019068+   84+   4+0.047619 
  473+   9+0.019027+   84+   4+0.047619 
  474+   9+0.018987+   84+   4+0.047619 
  475+   9+0.018947+   84+   4+0.047619 
  476+   9+0.018908+   84+   4+0.047619 
  477+   9+0.018868+   84+   4+0.047619 
  478+   9+0.018828+   84+   4+0.047619 
  479+   9+0.018789+   84+   4+0.047619 
  480+   9+0.018750+   84+   4+0.047619 
  481+   9+0.018711+   84+   4+0.047619 
  482+   9+0.018672+   84+   4+0.047619 
  483+   9+0.018634+   84+   4+0.047619 
  484+   9+0.018595+   84+   4+0.047619 
  485+   9+0.018557+   84+   4+0.047619 
  486+   9+0.018519+   84+   4+0.047619 
  487+   9+0.018480+   84+   4+0.047619 
  488+   9+0.018443+   84+   4+0.047619 
  489+   9+0.018405+   84+   4+0.047619 
  490+   9+0.018367+   84+   4+0.047619 
  491+   9+0.018330+   84+   4+0.047619 
  492+   9+0.018293+   84+   4+0.047619 
  493+   9+0.018256+   84+   4+0.047619 
  494+   9+0.018219+   84+   4+0.047619 
  495+   9+0.018182+   84+   4+0.047619 
  496+   9+0.018145+   84+   4+0.047619 
  497+   9+0.018109+   84+   4+0.047619 
  498+   9+0.018072+   84+   4+0.047619 
  499+   9+0.018036+   84+   4+0.047619 
  500+   9+0.018000+   84+   4+0.047619 
