    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   11+   1+0.090909 
   12+   1+0.083333+   12+   1+0.083333 
   13+   1+0.076923+   13+   1+0.076923 
   14+   1+0.071429+   14+   1+0.071429 
   15+   1+0.066667+   15+   1+0.066667 
   16+   1+0.062500+   16+   2+0.125000 
   17+   1+0.058824+   17+   2+0.117647 
   18+   1+0.055556+   18+   2+0.111111 
   19+   1+0.052632+   19+   2+0.105263 
   20+   1+0.050000+   20+   3+0.150000 
   21+   1+0.047619+   21+   3+0.142857 
   22+   1+0.045455+   22+   3+0.136364 
   23+   1+0.043478+   23+   3+0.130435 
   24+   1+0.041667+   24+   3+0.125000 
   25+   1+0.040000+   25+   3+0.120000 
   26+   1+0.038462+   26+   4+0.153846 
   27+   1+0.037037+   27+   4+0.148148 
   28+   1+0.035714+   28+   4+0.142857 
   29+   1+0.034483+   29+   4+0.137931 
   30+   1+0.033333+   30+   4+0.133333 
   31+   1+0.032258+   31+   4+0.129032 
   32+   1+0.031250+   32+   4+0.125000 
   33+   1+0.030303+   33+   4+0.121212 
   34+   1+0.029412+   34+   4+0.117647 
   35+   1+0.028571+   35+   4+0.114286 
   36+   1+0.027778+   36+   4+0.111111 
   37+   1+0.027027+   37+   4+0.108108 
   38+   1+0.026316+   38+   4+0.105263 
   39+   1+0.025641+   39+   4+0.102564 
   40+   1+0.025000+   40+   4+0.100000 
   41+   1+0.024390+   41+   4+0.097561 
   42+   1+0.023810+   42+   4+0.095238 
   43+   1+0.023256+   43+   4+0.093023 
   44+   1+0.022727+   44+   4+0.090909 
   45+   1+0.022222+   45+   4+0.088889 
   46+   1+0.021739+   46+   4+0.086957 
   47+   1+0.021277+   47+   4+0.085106 
   48+   1+0.020833+   48+   4+0.083333 
   49+   1+0.020408+   49+   4+0.081633 
   50+   1+0.020000+   50+   4+0.080000 
   51+   1+0.019608+   51+   4+0.078431 
   52+   1+0.019231+   52+   4+0.076923 
   53+   1+0.018868+   53+   4+0.075472 
   54+   1+0.018519+   54+   4+0.074074 
   55+   1+0.018182+   55+   4+0.072727 
   56+   1+0.017857+   56+   4+0.071429 
   57+   1+0.017544+   57+   4+0.070175 
   58+   1+0.017241+   58+   4+0.068966 
   59+   1+0.016949+   59+   4+0.067797 
   60+   1+0.016667+   60+   4+0.066667 
   61+   1+0.016393+   61+   4+0.065574 
   62+   1+0.016129+   62+   4+0.064516 
   63+   1+0.015873+   63+   4+0.063492 
   64+   1+0.015625+   64+   4+0.062500 
   65+   1+0.015385+   65+   4+0.061538 
   66+   1+0.015152+   66+   4+0.060606 
   67+   1+0.014925+   67+   4+0.059701 
   68+   1+0.014706+   68+   4+0.058824 
   69+   1+0.014493+   69+   4+0.057971 
   70+   1+0.014286+   70+   4+0.057143 
   71+   1+0.014085+   71+   4+0.056338 
   72+   1+0.013889+   72+   4+0.055556 
   73+   1+0.013699+   73+   4+0.054795 
   74+   1+0.013514+   74+   4+0.054054 
   75+   1+0.013333+   75+   4+0.053333 
   76+   1+0.013158+   76+   4+0.052632 
   77+   1+0.012987+   77+   4+0.051948 
   78+   1+0.012821+   78+   4+0.051282 
   79+   1+0.012658+   79+   4+0.050633 
   80+   1+0.012500+   80+   4+0.050000 
   81+   1+0.012346+   81+   4+0.049383 
   82+   1+0.012195+   82+   4+0.048780 
   83+   1+0.012048+   83+   4+0.048193 
   84+   1+0.011905+   84+   4+0.047619 
   85+   1+0.011765+   85+   4+0.047059 
   86+   1+0.011628+   86+   4+0.046512 
   87+   1+0.011494+   87+   4+0.045977 
   88+   1+0.011364+   88+   4+0.045455 
   89+   1+0.011236+   89+   4+0.044944 
   90+   1+0.011111+   90+   4+0.044444 
   91+   1+0.010989+   91+   4+0.043956 
   92+   1+0.010870+   92+   4+0.043478 
   93+   1+0.010753+   93+   4+0.043011 
   94+   1+0.010638+   94+   4+0.042553 
   95+   1+0.010526+   95+   4+0.042105 
   96+   1+0.010417+   96+   4+0.041667 
   97+   1+0.010309+   97+   4+0.041237 
   98+   1+0.010204+   98+   4+0.040816 
   99+   1+0.010101+   99+   4+0.040404 
  100+   1+0.010000+  100+   4+0.040000 
  101+   1+0.009901+  101+   4+0.039604 
  102+   1+0.009804+  102+   4+0.039216 
  103+   1+0.009709+  103+   4+0.038835 
  104+   1+0.009615+  104+   4+0.038462 
  105+   1+0.009524+  105+   4+0.038095 
  106+   1+0.009434+  106+   4+0.037736 
  107+   1+0.009346+  107+   4+0.037383 
  108+   1+0.009259+  108+   4+0.037037 
  109+   1+0.009174+  109+   4+0.036697 
  110+   1+0.009091+  110+   4+0.036364 
  111+   1+0.009009+  111+   4+0.036036 
  112+   1+0.008929+  112+   4+0.035714 
  113+   1+0.008850+  113+   4+0.035398 
  114+   1+0.008772+  114+   4+0.035088 
  115+   1+0.008696+  115+   4+0.034783 
  116+   1+0.008621+  116+   4+0.034483 
  117+   1+0.008547+  117+   4+0.034188 
  118+   1+0.008475+  118+   4+0.033898 
  119+   1+0.008403+  119+   4+0.033613 
  120+   1+0.008333+  120+   4+0.033333 
  121+   1+0.008264+  121+   4+0.033058 
  122+   1+0.008197+  122+   4+0.032787 
  123+   1+0.008130+  123+   4+0.032520 
  124+   1+0.008065+  124+   4+0.032258 
  125+   1+0.008000+  124+   4+0.032258 
  126+   1+0.007937+  124+   4+0.032258 
  127+   1+0.007874+  124+   4+0.032258 
  128+   1+0.007812+  124+   4+0.032258 
  129+   1+0.007752+  124+   4+0.032258 
  130+   1+0.007692+  124+   4+0.032258 
  131+   1+0.007634+  124+   4+0.032258 
  132+   1+0.007576+  124+   4+0.032258 
  133+   1+0.007519+  124+   4+0.032258 
  134+   1+0.007463+  124+   4+0.032258 
  135+   1+0.007407+  124+   4+0.032258 
  136+   1+0.007353+  124+   4+0.032258 
  137+   1+0.007299+  124+   4+0.032258 
  138+   1+0.007246+  124+   4+0.032258 
  139+   1+0.007194+  124+   4+0.032258 
  140+   1+0.007143+  124+   4+0.032258 
  141+   1+0.007092+  124+   4+0.032258 
  142+   1+0.007042+  124+   4+0.032258 
  143+   1+0.006993+  124+   4+0.032258 
  144+   1+0.006944+  124+   4+0.032258 
  145+   1+0.006897+  124+   4+0.032258 
  146+   1+0.006849+  124+   4+0.032258 
  147+   1+0.006803+  124+   4+0.032258 
  148+   2+0.013514+  124+   4+0.032258 
  149+   2+0.013423+  124+   4+0.032258 
  150+   2+0.013333+  124+   4+0.032258 
  151+   2+0.013245+  124+   4+0.032258 
  152+   2+0.013158+  124+   4+0.032258 
  153+   2+0.013072+  124+   4+0.032258 
  154+   2+0.012987+  124+   4+0.032258 
  155+   2+0.012903+  124+   4+0.032258 
  156+   2+0.012821+  124+   4+0.032258 
  157+   2+0.012739+  124+   4+0.032258 
  158+   3+0.018987+  124+   4+0.032258 
  159+   3+0.018868+  124+   4+0.032258 
  160+   3+0.018750+  124+   4+0.032258 
  161+   3+0.018634+  124+   4+0.032258 
  162+   3+0.018519+  124+   4+0.032258 
  163+   3+0.018405+  124+   4+0.032258 
  164+   3+0.018293+  124+   4+0.032258 
  165+   3+0.018182+  124+   4+0.032258 
  166+   4+0.024096+  124+   4+0.032258 
  167+   4+0.023952+  124+   4+0.032258 
  168+   4+0.023810+  124+   4+0.032258 
  169+   4+0.023669+  124+   4+0.032258 
  170+   4+0.023529+  124+   4+0.032258 
  171+   4+0.023392+  124+   4+0.032258 
  172+   4+0.023256+  124+   4+0.032258 
  173+   4+0.023121+  124+   4+0.032258 
  174+   4+0.022989+  124+   4+0.032258 
  175+   4+0.022857+  124+   4+0.032258 
  176+   4+0.022727+  124+   4+0.032258 
  177+   4+0.022599+  124+   4+0.032258 
  178+   4+0.022472+  124+   4+0.032258 
  179+   4+0.022346+  124+   4+0.032258 
  180+   4+0.022222+  124+   4+0.032258 
  181+   4+0.022099+  124+   4+0.032258 
  182+   4+0.021978+  124+   4+0.032258 
  183+   4+0.021858+  124+   4+0.032258 
  184+   4+0.021739+  124+   4+0.032258 
  185+   4+0.021622+  124+   4+0.032258 
  186+   4+0.021505+  124+   4+0.032258 
  187+   4+0.021390+  124+   4+0.032258 
  188+   4+0.021277+  124+   4+0.032258 
  189+   4+0.021164+  124+   4+0.032258 
  190+   4+0.021053+  124+   4+0.032258 
  191+   4+0.020942+  124+   4+0.032258 
  192+   4+0.020833+  124+   4+0.032258 
  193+   4+0.020725+  124+   4+0.032258 
  194+   4+0.020619+  124+   4+0.032258 
  195+   4+0.020513+  124+   4+0.032258 
  196+   4+0.020408+  124+   4+0.032258 
  197+   4+0.020305+  124+   4+0.032258 
  198+   4+0.020202+  124+   4+0.032258 
  199+   4+0.020101+  124+   4+0.032258 
  200+   4+0.020000+  124+   4+0.032258 
  201+   4+0.019900+  124+   4+0.032258 
  202+   4+0.019802+  124+   4+0.032258 
  203+   4+0.019704+  124+   4+0.032258 
  204+   4+0.019608+  124+   4+0.032258 
  205+   4+0.019512+  124+   4+0.032258 
  206+   4+0.019417+  124+   4+0.032258 
  207+   4+0.019324+  124+   4+0.032258 
  208+   4+0.019231+  124+   4+0.032258 
  209+   4+0.019139+  124+   4+0.032258 
  210+   4+0.019048+  124+   4+0.032258 
  211+   4+0.018957+  124+   4+0.032258 
  212+   4+0.018868+  124+   4+0.032258 
  213+   4+0.018779+  124+   4+0.032258 
  214+   4+0.018692+  124+   4+0.032258 
  215+   4+0.018605+  124+   4+0.032258 
  216+   4+0.018519+  124+   4+0.032258 
  217+   4+0.018433+  124+   4+0.032258 
  218+   4+0.018349+  124+   4+0.032258 
  219+   4+0.018265+  124+   4+0.032258 
  220+   4+0.018182+  124+   4+0.032258 
  221+   4+0.018100+  124+   4+0.032258 
  222+   4+0.018018+  124+   4+0.032258 
  223+   4+0.017937+  124+   4+0.032258 
  224+   4+0.017857+  124+   4+0.032258 
  225+   4+0.017778+  124+   4+0.032258 
  226+   4+0.017699+  124+   4+0.032258 
  227+   4+0.017621+  124+   4+0.032258 
  228+   4+0.017544+  124+   4+0.032258 
  229+   4+0.017467+  124+   4+0.032258 
  230+   4+0.017391+  124+   4+0.032258 
  231+   4+0.017316+  124+   4+0.032258 
  232+   4+0.017241+  124+   4+0.032258 
  233+   4+0.017167+  124+   4+0.032258 
  234+   4+0.017094+  124+   4+0.032258 
  235+   4+0.017021+  124+   4+0.032258 
  236+   4+0.016949+  124+   4+0.032258 
  237+   4+0.016878+  124+   4+0.032258 
  238+   4+0.016807+  124+   4+0.032258 
  239+   4+0.016736+  124+   4+0.032258 
  240+   4+0.016667+  124+   4+0.032258 
  241+   4+0.016598+  124+   4+0.032258 
  242+   4+0.016529+  124+   4+0.032258 
  243+   4+0.016461+  124+   4+0.032258 
  244+   4+0.016393+  124+   4+0.032258 
  245+   4+0.016327+  124+   4+0.032258 
  246+   4+0.016260+  124+   4+0.032258 
  247+   4+0.016194+  124+   4+0.032258 
  248+   4+0.016129+  124+   4+0.032258 
  249+   4+0.016064+  124+   4+0.032258 
  250+   4+0.016000+  124+   4+0.032258 
  251+   4+0.015936+  124+   4+0.032258 
  252+   4+0.015873+  124+   4+0.032258 
  253+   4+0.015810+  124+   4+0.032258 
  254+   4+0.015748+  124+   4+0.032258 
  255+   4+0.015686+  124+   4+0.032258 
  256+   4+0.015625+  124+   4+0.032258 
  257+   4+0.015564+  124+   4+0.032258 
  258+   4+0.015504+  124+   4+0.032258 
  259+   4+0.015444+  124+   4+0.032258 
  260+   4+0.015385+  124+   4+0.032258 
  261+   4+0.015326+  124+   4+0.032258 
  262+   4+0.015267+  124+   4+0.032258 
  263+   4+0.015209+  124+   4+0.032258 
  264+   4+0.015152+  124+   4+0.032258 
  265+   4+0.015094+  124+   4+0.032258 
  266+   4+0.015038+  124+   4+0.032258 
  267+   4+0.014981+  124+   4+0.032258 
  268+   4+0.014925+  124+   4+0.032258 
  269+   4+0.014870+  124+   4+0.032258 
  270+   4+0.014815+  124+   4+0.032258 
  271+   4+0.014760+  124+   4+0.032258 
  272+   4+0.014706+  124+   4+0.032258 
  273+   4+0.014652+  124+   4+0.032258 
  274+   4+0.014599+  124+   4+0.032258 
  275+   4+0.014545+  124+   4+0.032258 
  276+   4+0.014493+  124+   4+0.032258 
  277+   4+0.014440+  124+   4+0.032258 
  278+   4+0.014388+  124+   4+0.032258 
  279+   4+0.014337+  124+   4+0.032258 
  280+   4+0.014286+  124+   4+0.032258 
  281+   4+0.014235+  124+   4+0.032258 
  282+   4+0.014184+  124+   4+0.032258 
  283+   4+0.014134+  124+   4+0.032258 
  284+   4+0.014085+  124+   4+0.032258 
  285+   4+0.014035+  124+   4+0.032258 
  286+   4+0.013986+  124+   4+0.032258 
  287+   4+0.013937+  124+   4+0.032258 
  288+   4+0.013889+  124+   4+0.032258 
  289+   4+0.013841+  124+   4+0.032258 
  290+   4+0.013793+  124+   4+0.032258 
  291+   4+0.013746+  124+   4+0.032258 
  292+   4+0.013699+  124+   4+0.032258 
  293+   4+0.013652+  124+   4+0.032258 
  294+   4+0.013605+  124+   4+0.032258 
  295+   4+0.013559+  124+   4+0.032258 
  296+   4+0.013514+  124+   4+0.032258 
  297+   4+0.013468+  124+   4+0.032258 
  298+   4+0.013423+  124+   4+0.032258 
  299+   4+0.013378+  124+   4+0.032258 
  300+   4+0.013333+  124+   4+0.032258 
  301+   4+0.013289+  124+   4+0.032258 
  302+   4+0.013245+  124+   4+0.032258 
  303+   4+0.013201+  124+   4+0.032258 
  304+   4+0.013158+  124+   4+0.032258 
  305+   4+0.013115+  124+   4+0.032258 
  306+   4+0.013072+  124+   4+0.032258 
  307+   4+0.013029+  124+   4+0.032258 
  308+   4+0.012987+  124+   4+0.032258 
  309+   4+0.012945+  124+   4+0.032258 
  310+   4+0.012903+  124+   4+0.032258 
  311+   4+0.012862+  124+   4+0.032258 
  312+   4+0.012821+  124+   4+0.032258 
  313+   4+0.012780+  124+   4+0.032258 
  314+   4+0.012739+  124+   4+0.032258 
  315+   4+0.012698+  124+   4+0.032258 
  316+   4+0.012658+  124+   4+0.032258 
  317+   4+0.012618+  124+   4+0.032258 
  318+   4+0.012579+  124+   4+0.032258 
  319+   4+0.012539+  124+   4+0.032258 
  320+   4+0.012500+  124+   4+0.032258 
  321+   4+0.012461+  124+   4+0.032258 
  322+   4+0.012422+  124+   4+0.032258 
  323+   4+0.012384+  124+   4+0.032258 
  324+   4+0.012346+  124+   4+0.032258 
  325+   4+0.012308+  124+   4+0.032258 
  326+   4+0.012270+  124+   4+0.032258 
  327+   4+0.012232+  124+   4+0.032258 
  328+   4+0.012195+  124+   4+0.032258 
  329+   4+0.012158+  124+   4+0.032258 
  330+   4+0.012121+  124+   4+0.032258 
  331+   4+0.012085+  124+   4+0.032258 
  332+   5+0.015060+  124+   4+0.032258 
  333+   5+0.015015+  124+   4+0.032258 
  334+   5+0.014970+  124+   4+0.032258 
  335+   5+0.014925+  124+   4+0.032258 
  336+   5+0.014881+  124+   4+0.032258 
  337+   5+0.014837+  124+   4+0.032258 
  338+   5+0.014793+  124+   4+0.032258 
  339+   5+0.014749+  124+   4+0.032258 
  340+   5+0.014706+  124+   4+0.032258 
  341+   5+0.014663+  124+   4+0.032258 
  342+   5+0.014620+  124+   4+0.032258 
  343+   5+0.014577+  124+   4+0.032258 
  344+   5+0.014535+  124+   4+0.032258 
  345+   5+0.014493+  124+   4+0.032258 
  346+   5+0.014451+  124+   4+0.032258 
  347+   5+0.014409+  124+   4+0.032258 
  348+   5+0.014368+  124+   4+0.032258 
  349+   5+0.014327+  124+   4+0.032258 
  350+   5+0.014286+  124+   4+0.032258 
  351+   5+0.014245+  124+   4+0.032258 
  352+   5+0.014205+  124+   4+0.032258 
  353+   5+0.014164+  124+   4+0.032258 
  354+   5+0.014124+  124+   4+0.032258 
  355+   5+0.014085+  124+   4+0.032258 
  356+   5+0.014045+  124+   4+0.032258 
  357+   5+0.014006+  124+   4+0.032258 
  358+   5+0.013966+  124+   4+0.032258 
  359+   5+0.013928+  124+   4+0.032258 
  360+   5+0.013889+  124+   4+0.032258 
  361+   5+0.013850+  124+   4+0.032258 
  362+   5+0.013812+  124+   4+0.032258 
  363+   5+0.013774+  124+   4+0.032258 
  364+   5+0.013736+  124+   4+0.032258 
  365+   5+0.013699+  124+   4+0.032258 
  366+   5+0.013661+  124+   4+0.032258 
  367+   5+0.013624+  124+   4+0.032258 
  368+   5+0.013587+  124+   4+0.032258 
  369+   5+0.013550+  124+   4+0.032258 
  370+   5+0.013514+  124+   4+0.032258 
  371+   5+0.013477+  124+   4+0.032258 
  372+   5+0.013441+  124+   4+0.032258 
  373+   5+0.013405+  124+   4+0.032258 
  374+   5+0.013369+  124+   4+0.032258 
  375+   5+0.013333+  124+   4+0.032258 
  376+   5+0.013298+  124+   4+0.032258 
  377+   5+0.013263+  124+   4+0.032258 
  378+   5+0.013228+  124+   4+0.032258 
  379+   5+0.013193+  124+   4+0.032258 
  380+   5+0.013158+  124+   4+0.032258 
  381+   5+0.013123+  124+   4+0.032258 
  382+   5+0.013089+  124+   4+0.032258 
  383+   5+0.013055+  124+   4+0.032258 
  384+   5+0.013021+  124+   4+0.032258 
  385+   5+0.012987+  124+   4+0.032258 
  386+   5+0.012953+  124+   4+0.032258 
  387+   5+0.012920+  124+   4+0.032258 
  388+   5+0.012887+  124+   4+0.032258 
  389+   5+0.012853+  124+   4+0.032258 
  390+   5+0.012821+  124+   4+0.032258 
  391+   5+0.012788+  124+   4+0.032258 
  392+   5+0.012755+  124+   4+0.032258 
  393+   5+0.012723+  124+   4+0.032258 
  394+   5+0.012690+  124+   4+0.032258 
  395+   5+0.012658+  124+   4+0.032258 
  396+   5+0.012626+  124+   4+0.032258 
  397+   5+0.012594+  124+   4+0.032258 
  398+   5+0.012563+  124+   4+0.032258 
  399+   5+0.012531+  124+   4+0.032258 
  400+   5+0.012500+  124+   4+0.032258 
  401+   5+0.012469+  124+   4+0.032258 
  402+   5+0.012438+  124+   4+0.032258 
  403+   5+0.012407+  124+   4+0.032258 
  404+   5+0.012376+  124+   4+0.032258 
  405+   5+0.012346+  124+   4+0.032258 
  406+   5+0.012315+  124+   4+0.032258 
  407+   5+0.012285+  124+   4+0.032258 
  408+   5+0.012255+  124+   4+0.032258 
  409+   5+0.012225+  124+   4+0.032258 
  410+   5+0.012195+  124+   4+0.032258 
  411+   5+0.012165+  124+   4+0.032258 
  412+   5+0.012136+  124+   4+0.032258 
  413+   5+0.012107+  124+   4+0.032258 
  414+   5+0.012077+  124+   4+0.032258 
  415+   5+0.012048+  124+   4+0.032258 
  416+   5+0.012019+  124+   4+0.032258 
  417+   5+0.011990+  124+   4+0.032258 
  418+   5+0.011962+  124+   4+0.032258 
  419+   5+0.011933+  124+   4+0.032258 
  420+   5+0.011905+  124+   4+0.032258 
  421+   5+0.011876+  124+   4+0.032258 
  422+   5+0.011848+  124+   4+0.032258 
  423+   5+0.011820+  124+   4+0.032258 
  424+   5+0.011792+  124+   4+0.032258 
  425+   5+0.011765+  124+   4+0.032258 
  426+   5+0.011737+  124+   4+0.032258 
  427+   5+0.011710+  124+   4+0.032258 
  428+   5+0.011682+  124+   4+0.032258 
  429+   5+0.011655+  124+   4+0.032258 
  430+   5+0.011628+  124+   4+0.032258 
  431+   5+0.011601+  124+   4+0.032258 
  432+   5+0.011574+  124+   4+0.032258 
  433+   5+0.011547+  124+   4+0.032258 
  434+   5+0.011521+  124+   4+0.032258 
  435+   5+0.011494+  124+   4+0.032258 
  436+   5+0.011468+  124+   4+0.032258 
  437+   5+0.011442+  124+   4+0.032258 
  438+   5+0.011416+  124+   4+0.032258 
  439+   6+0.013667+  124+   4+0.032258 
  440+   6+0.013636+  124+   4+0.032258 
  441+   6+0.013605+  124+   4+0.032258 
  442+   6+0.013575+  124+   4+0.032258 
  443+   6+0.013544+  124+   4+0.032258 
  444+   7+0.015766+  124+   4+0.032258 
  445+   7+0.015730+  124+   4+0.032258 
  446+   7+0.015695+  124+   4+0.032258 
  447+   7+0.015660+  124+   4+0.032258 
  448+   7+0.015625+  124+   4+0.032258 
  449+   7+0.015590+  124+   4+0.032258 
  450+   7+0.015556+  124+   4+0.032258 
  451+   7+0.015521+  124+   4+0.032258 
  452+   7+0.015487+  124+   4+0.032258 
  453+   7+0.015453+  124+   4+0.032258 
  454+   7+0.015419+  124+   4+0.032258 
  455+   7+0.015385+  124+   4+0.032258 
  456+   7+0.015351+  124+   4+0.032258 
  457+   7+0.015317+  124+   4+0.032258 
  458+   7+0.015284+  124+   4+0.032258 
  459+   7+0.015251+  124+   4+0.032258 
  460+   7+0.015217+  124+   4+0.032258 
  461+   7+0.015184+  124+   4+0.032258 
  462+   7+0.015152+  124+   4+0.032258 
  463+   7+0.015119+  124+   4+0.032258 
  464+   7+0.015086+  124+   4+0.032258 
  465+   7+0.015054+  124+   4+0.032258 
  466+   7+0.015021+  124+   4+0.032258 
  467+   7+0.014989+  124+   4+0.032258 
  468+   7+0.014957+  124+   4+0.032258 
  469+   7+0.014925+  124+   4+0.032258 
  470+   7+0.014894+  124+   4+0.032258 
  471+   7+0.014862+  124+   4+0.032258 
  472+   7+0.014831+  124+   4+0.032258 
  473+   7+0.014799+  124+   4+0.032258 
  474+   7+0.014768+  124+   4+0.032258 
  475+   7+0.014737+  124+   4+0.032258 
  476+   7+0.014706+  124+   4+0.032258 
  477+   7+0.014675+  124+   4+0.032258 
  478+   7+0.014644+  124+   4+0.032258 
  479+   7+0.014614+  124+   4+0.032258 
  480+   7+0.014583+  124+   4+0.032258 
  481+   7+0.014553+  124+   4+0.032258 
  482+   7+0.014523+  124+   4+0.032258 
  483+   7+0.014493+  124+   4+0.032258 
  484+   7+0.014463+  124+   4+0.032258 
  485+   7+0.014433+  124+   4+0.032258 
  486+   7+0.014403+  124+   4+0.032258 
  487+   7+0.014374+  124+   4+0.032258 
  488+   7+0.014344+  124+   4+0.032258 
  489+   7+0.014315+  124+   4+0.032258 
  490+   7+0.014286+  124+   4+0.032258 
  491+   7+0.014257+  124+   4+0.032258 
  492+   7+0.014228+  124+   4+0.032258 
  493+   7+0.014199+  124+   4+0.032258 
  494+   7+0.014170+  124+   4+0.032258 
  495+   7+0.014141+  124+   4+0.032258 
  496+   7+0.014113+  124+   4+0.032258 
  497+   7+0.014085+  124+   4+0.032258 
  498+   7+0.014056+  124+   4+0.032258 
  499+   7+0.014028+  124+   4+0.032258 
  500+   7+0.014000+  124+   4+0.032258 
